fips,opioid_presc_rate,total_population,average_household_size,percent_with_healthcare,median_household_income,median_age,perc_foreign_born,percent_grad_high_school,perc_male,poverty_population,opioid_death_rate
2020,66.3,299107,2.77,0.9953857075248462,78326,32.5,0.09963992818623436,0.9298679344955098,0.5119305131608421,23914,119.386
2050,NA,17776,3.86,0.9949494949494949,51012,26.7,0.01845184518451845,0.7896018636171114,0.5260463546354636,4364,144.702
2070,NA,4979,3.56,0.9847328244274809,54173,29.7,0.016670014059048003,0.865323435843054,0.5199839325165696,894,NA
2090,48.4,99705,2.69,1,71068,30.4,0.05081991876034301,0.9442185158964058,0.5363522391053608,7752,67.591
2110,79.8,32531,2.62,0.9960238568588469,85746,37,0.07844824936214688,0.9480443666082895,0.5116657957025607,2110,120.118
2122,97.9,57221,2.57,0.9987644151565074,63684,40.5,0.027909333985774453,0.9341137894817737,0.5238286643015676,5558,198.27
2130,91.5,13699,2.55,1,64222,38.7,0.07803489305788744,0.9186695278969957,0.5137601284765312,1640,NA
2150,33.6,13973,2.98,1,70887,32.4,0.17025692406784512,0.9038191190253045,0.5344593143920418,1552,NA
2170,76.4,96178,3.03,0.9860703812316716,72983,34.6,0.03844954147518143,0.922529409826342,0.5220008733806067,9454,154.266
2180,NA,9854,3.26,0.9950738916256158,48868,27.8,0.017150395778364115,0.8458542014468559,0.5350111629795007,2592,NA
2185,NA,9667,3.28,1,72576,33.9,0.0647563877107686,0.8873149769218526,0.6384607427330092,976,229.024
2198,56.4,6376,2.77,1,48523,39.7,0.01584065244667503,0.9055813953488372,0.5439146800501882,921,NA
2220,9.5,8943,2.49,0.96,70376,38.9,0.08442357150844236,0.9277498785031589,0.5125796712512579,798,NA
2240,NA,7029,3.11,1,62670,35.8,0.10442452695973822,0.9213483146067416,0.5561246265471618,1011,NA
2261,45,9617,3.1,1,78810,36.6,0.044400540709160864,0.9248893105629349,0.5341582614120828,1029,NA
2290,NA,5644,2.81,0.9565217391304348,38491,35,0.011162296243798725,0.8224668360146768,0.5382707299787385,1252,NA
1001,129.6,55221,2.68,1,51281,37.7,0.015591894388004563,0.8718026377378232,0.4843266148747759,7057,75.79
1003,123.8,195121,2.6,0.9948869364827885,50254,42.2,0.03527042194330697,0.8951832468376143,0.48848663137232795,25798,88.223
1005,92.7,26932,2.61,1,32964,38.8,0.02736521609980692,0.7330391322841344,0.5382815980989157,6421,NA
1007,97.2,22604,2.95,1,38678,38.9,0.011104229339939833,0.8065135325356708,0.534109007255353,3488,92.744
1009,56.9,57710,2.74,0.9994232987312572,45813,40.7,0.0414659504418645,0.7850182704019488,0.49405648934326807,9552,112.644
1013,135.4,20354,2.49,1,32229,40.5,0.007074776456716125,0.7783652472134895,0.46683698535914314,5094,NA
1015,161,116648,2.52,1,41703,39.1,0.02560695425553803,0.8091359593392631,0.4824257595500994,23325,67.184
1017,140.6,34079,2.44,1,34177,43,0.01059303383315238,0.7892416225749559,0.47706798908418674,7273,118.193
