fips,average_household_size
39001,2.56
39003,2.53
39005,2.5
39007,2.48
39009,2.47
39011,2.49
39013,2.35
39015,2.62
39017,2.68
39019,2.54
39021,2.53
39023,2.44
39025,2.65
39027,2.53
39029,2.43
39031,2.53
39033,2.37
39035,2.31
39037,2.48
39039,2.49
39041,2.78
39043,2.35
39045,2.66
39047,2.44
39049,2.47
39051,2.59
39053,2.56
39055,2.67
39057,2.41
39059,2.51
39061,2.37
39063,2.37
39065,2.55
39067,2.45
39069,2.52
39071,2.55
39073,2.48
39075,3.36
39077,2.58
39079,2.5
39081,2.35
39083,2.53
39085,2.39
39087,2.6
39089,2.57
39091,2.42
39093,2.5
39095,2.4
39097,2.57
39099,2.32
39101,2.43
39103,2.63
39105,2.49
39107,2.54
39109,2.49
39111,2.37
39113,2.32
39115,2.41
39117,2.73
39119,2.45
39121,2.45
39123,2.33
39125,2.48
39127,2.59
39129,2.68
39131,2.55
39133,2.54
39135,2.56
39137,2.6
39139,2.4
39141,2.52
39143,2.49
39145,2.5
39147,2.45
39149,2.62
39151,2.43
39153,2.41
39155,2.33
39157,2.49
39159,2.73
39161,2.49
39163,2.63
39165,2.73
39167,2.38
39169,2.6
39171,2.39
39173,2.44
39175,2.38
1007,2.95
1009,2.74
1011,2.73
1013,2.49
1015,2.52
1017,2.44
1019,2.28
1021,2.68
1023,2.37
1025,2.57
1027,2.45
1029,2.57
1031,2.62
1033,2.43
1035,2.48
1037,2.42
1039,2.49
1041,2.56
1043,2.55
1045,2.56
1047,2.53
1049,2.81
1051,2.65
1053,2.6
1055,2.56
1057,2.36
1059,2.62
1061,2.47
1063,2.7
1065,2.53
1067,2.47
1069,2.62
1071,2.56
1073,2.47
1075,2.27
1077,2.35
1079,2.46
1081,2.54
1083,2.64
1085,2.49
1087,2.24
1089,2.46
1091,2.42
1093,2.34
1095,2.72
1097,2.62
1099,2.62
1101,2.47
1103,2.55
1105,2.7
1107,2.51
1109,2.44
1111,2.49
1113,2.59
1115,2.62
1117,2.66
1119,2.61
1121,2.49
1123,2.48
1125,2.75
1127,2.54
1129,2.75
1131,2.86
1133,2.53
1001,2.68
1003,2.6
1005,2.61
2013,2.43
2016,3.59
2020,2.77
2050,3.86
2060,2.5
2068,2.34
2070,3.56
2090,2.69
2100,2.12
2105,2.26
2110,2.62
2122,2.57
2130,2.55
2150,2.98
2158,4.65
2164,2.9
2170,3.03
2180,3.26
2185,3.28
2188,3.97
2195,2.4
2198,2.77
2220,2.49
2230,2.15
2240,3.11
2261,3.1
2275,2.08
2282,2.32
2290,2.81
4001,3.67
4003,2.42
4005,2.7
4007,2.5
4009,3.02
4011,2.78
4012,2.14
4013,2.75
4015,2.43
4017,3.08
4019,2.49
4021,2.87
4023,3.04
4025,2.3
4027,2.77
5001,2.39
5003,2.52
5005,2.23
5007,2.75
5009,2.45
5011,2.39
5013,2.4
5015,2.49
5017,2.36
5019,2.28
5021,2.31
5023,2.5
5025,2.53
5027,2.37
5029,2.49
5031,2.52
5033,2.58
5035,2.67
5037,2.49
5039,2.26
5041,2.33
5043,2.43
5045,2.65
5047,2.58
5049,2.27
5051,2.35
5053,2.61
5055,2.56
5057,2.81
5059,2.59
5061,2.65
5063,2.52
5065,2.28
5067,2.25
5069,2.41
5071,2.5
5073,2.52
5075,2.45
5077,2.34
5079,2.43
5081,2.39
5083,2.48
5085,2.7
5087,2.46
5089,2.43
5091,2.5
5093,2.57
5095,2.27
5097,2.33
5099,2.48
5101,2.42
5103,2.34
5105,2.62
5107,2.48
5109,2.5
5111,2.57
5113,2.56
5115,2.62
5117,2.16
5119,2.49
5121,2.36
5123,2.51
5125,2.66
5127,2.66
5129,2.48
5131,2.53
5133,2.81
5135,2.37
5137,2.4
5139,2.43
5141,2.44
5143,2.55
5145,2.55
5147,2.36
5149,2.8
6001,2.78
6003,3.06
6005,2.36
6007,2.55
6009,2.45
6011,3.04
6013,2.82
6015,2.55
6017,2.69
6019,3.17
6021,2.92
6023,2.47
6025,3.61
6027,2.23
6029,3.21
6031,3.19
6033,2.34
6035,2.24
6037,3.02
6039,3.35
6041,2.41
6043,2.29
6045,2.51
