fips,opioid_death_rate
1001,75.79
1003,88.223
1005,NA
1007,92.744
1009,112.644
1013,NA
1015,67.184
1017,118.193
1019,151.603
1021,81.928
1025,NA
1027,NA
1029,NA
1031,156.171
1033,90.379
1035,NA
1037,NA
1039,154.84
1041,NA
1043,138.23
1045,97.509
1047,84.983
1049,105.783
1051,101.468
1053,304.813
1055,147.225
1057,193.4
1059,88.529
1061,191.628
1067,139.828
1069,94.18
1071,103.571
1073,99.466
1075,NA
1077,135.402
1079,93.25
1081,82.395
1083,79.782
1087,NA
1089,73.396
1091,116.912
1093,NA
1095,95.631
1097,95.459
1099,NA
1101,61.41
1103,107.552
1107,NA
1109,84.119
1111,97.122
1113,144.399
1115,101.115
1117,62.672
1121,67.413
1123,137.501
1125,88.306
1127,115.443
1129,149.2
1133,134.426
2020,119.386
2050,144.702
2070,NA
2090,67.591
2110,120.118
2122,198.27
2130,NA
2150,NA
2170,154.266
2180,NA
2185,229.024
2198,NA
2220,NA
2240,NA
2261,NA
2290,NA
4001,93.008
4003,190.029
4005,79.484
4007,278.213
4009,167.558
4011,NA
4012,364.227
4013,103.653
4015,313.765
4017,147.238
4019,144.459
4021,141.922
4023,100.033
4025,336.936
4027,107.96
5001,148.238
5003,141.519
5005,221.616
5007,68.527
5009,144.757
5011,NA
5015,148.304
5017,NA
5019,136.823
5021,227.882
5023,142.495
5027,133.886
5029,181.497
5031,104.88
5033,147.751
5035,71.088
5037,123.261
5039,267.773
5041,NA
5043,155.488
5045,79.361
5047,266.652
5049,329.951
5051,265.704
5053,176.972
5055,168.169
5057,136.525
5059,287.649
5061,149.51
5063,150.667
5065,193.553
5067,214.854
5069,125.686
5071,114.609
5073,NA
5075,262.922
5079,NA
5081,257.007
5083,211.087
5085,148.142
5087,NA
5089,287.902
5091,134.743
5093,163.418
5095,278.979
5097,270.301
5099,NA
5101,NA
5103,190.887
5105,197.394
5107,221.344
5109,221.566
5111,241.435
5113,188.371
5115,101.914
5117,NA
5119,131.469
5121,131.82
5123,NA
5125,88.456
5127,311.375
5129,NA
5131,202.672
5133,NA
5135,262.284
5137,215.328
5139,112.819
5141,132.307
5143,41.219
5145,146.348
5149,120.638
6001,18.753
6005,NA
6007,67.441
6009,NA
6013,23.169
6015,119.826
6017,44.714
6019,24.594
6021,NA
6023,95.868
6025,31.512
6027,NA
6029,37.636
6031,14.02
6033,85.782
6035,100.421
6037,15.467
6039,32.968
6041,26.089
6043,NA
6045,61.624
6047,42.803
6049,NA
6053,18.381
6055,24.619
6057,37.333
6059,17.494
6061,28.907
6063,NA
6065,23.998
6067,30.902
6071,20.046
6073,22.756
6075,32.84
6077,30.666
6079,32.522
6081,14.775
6083,35.188
6085,15.474
6087,35.679
6089,61.237
6093,144.485
6095,24.988
6097,34.985
6099,29.544
6101,31.04
6103,42.67
6105,NA
6107,18.461
6109,63.192
6111,22.478
6113,30.12
6115,50.482
8001,125.053
8003,198.151
8005,93.083
8007,233.39
8011,NA
8013,78.516
8014,88.683
8015,104.943
8021,NA
8029,289.074
8031,120.047
8035,58.424
8037,NA
8039,107.011
8041,136.717
8043,225.52
8045,101.89
8051,NA
8055,404.373
8059,132.905
8063,256.254
8067,68.317
8069,113.238
8071,212.721
8073,NA
8075,269.173
8077,291.839
8081,183.08
8083,177.784
8085,245.955
8087,173.304
8089,202.241
8093,128.16
8095,NA
8099,209.696
8101,138.684
8103,NA
8105,217.789
8107,117.657
8119,170.528
8121,NA
8123,98.667
8125,NA
9001,81.341
9003,110.714
9005,125.431
9007,141.432
9009,120.554
9011,139.362
9013,84.702
9015,182.457
10001,200.77
10003,126.933
10005,291.032
11001,94.396
12001,103.986
12003,136.02
12005,183.722
12007,144.841
12009,193.221
12011,62.892
12013,173.334
12015,141.764
12017,220.72
12019,124.333
12021,96.95
12023,268.402
12027,134.078
12029,257.669
12031,126.423
12033,144.041
12035,118.179
12037,285.69
12039,163.022
12041,127.818
12043,150.322
12045,168.856
12047,146.229
12049,105.994
12051,101.807
12053,237.372
12055,281.419
12057,95.405
12059,215.528
12061,176.824
12063,147.214
12065,172.587
12067,NA
12069,154.146
12071,135.948
12073,85.469
12075,165.161
12079,159.131
12081,160.952
12083,317.747
12085,204.788
12086,50.13
12087,156.809
12089,120.315
12091,163.046
12093,136.429
12095,78.06
12097,78.568
12099,94.819
12101,221.325
12103,176.741
12105,106.583
12107,221.371
12109,117.403
12111,160.518
12113,130.208
12115,151.005
12117,95.065
12119,147.585
12121,379.047
12123,220.97
12125,158.5
12127,228.009
12129,178.723
12131,217.032
12133,223.859
13001,157.369
13003,NA
13005,NA
13009,48.733
13011,NA
13013,102.43
13015,162.802
13017,179.783
13019,279.05
13021,47.787
13023,NA
13025,201.58
13027,NA
13029,113.166
13031,105.725
13033,154.267
13035,180.543
13039,88.666
13043,NA
13045,137.621
13047,204.825
13051,127.991
13055,338.382
13057,69.511
13059,56.933
13063,40.077
13067,66.431
13069,132.521
13071,199.09
13073,66.463
13075,NA
13077,76.854
13079,NA
13081,110.03
13083,172.233
13085,97.441
13087,175.229
13089,51.194
13091,218.84
13093,NA
13095,68.876
13097,68.202
13103,137.962
13105,193.282
13107,181.135
13109,NA
13111,184.739
13113,58.23
13115,186.413
13117,49.319
13119,116.487
13121,59.707
13123,164.8
13125,NA
13127,121.891
13129,140.588
13131,185.424
13133,NA
13135,45.748
13137,128.825
13139,79.334
13143,175.608
13145,154.523
13147,109.576
13149,NA
13151,55.914
13153,78.227
13155,NA
13157,109.882
13159,NA
13161,NA
13163,201.056
13165,NA
13169,NA
13171,157.02
13173,NA
13175,122.064
13177,68.173
13179,57.536
13181,NA
13183,NA
13185,75.898
13187,155.828
13189,148.906
13191,NA
13193,NA
13195,135.304
13197,NA
13199,161.336
13201,NA
13205,124.672
13207,84.231
13213,211.115
13215,186.343
13217,83.178
13219,54.292
13223,100.754
13225,90.039
13227,139.465
13229,239.946
13231,122.624
13233,208.254
13235,NA
13237,102.435
13241,223.443
13243,NA
13245,126.459
13247,82.816
13251,156.651
13253,NA
13255,109.558
13257,151.45
13259,NA
13261,88.848
13263,324.097
13267,163.399
13271,NA
13275,152.493
13277,85.725
13279,143.403
13281,210.693
13285,78.566
13287,NA
13289,NA
13291,157.013
13293,220.239
13295,169.377
13297,126.408
13299,190.274
13301,NA
13303,127.096
13305,199.309
13311,145.409
13313,151.068
13315,NA
13317,214.176
13321,110.854
15001,129
15003,103.062
15007,140.221
15009,82.232
16001,131.298
16003,NA
16005,189.625
16009,582.93
16011,141.59
16013,NA
16015,NA
16017,244.499
16019,130.979
16021,214.023
16027,154.465
16031,NA
16035,458.986
16039,230.61
16043,NA
16045,273.51
16047,138.294
16049,173.31
16051,107.762
16053,NA
16055,261.809
16057,125.013
16059,NA
16067,130.966
16069,222.943
16073,184.388
16075,273.604
16077,NA
16079,449.727
16083,179.611
16085,NA
16087,245.773
17001,159.212
17003,NA
17005,213.98
17007,153.262
17009,NA
17011,110.915
17015,247.61
17017,NA
17019,39.824
17021,267.195
17023,238.424
17025,NA
17027,135.175
17029,145.196
17031,78.985
17033,150.197
17035,NA
17037,101.408
17039,172.563
17041,NA
17043,72.522
17045,222.02
17049,110.51
17051,201.937
17053,147.33
17055,250.281
17057,230.752
17059,NA
17061,267.318
17063,198.267
17065,NA
17067,135.077
17069,NA
17071,NA
17073,166.396
17075,197.642
17077,132.495
17079,NA
17081,135.205
17083,254.257
17085,156.178
17087,NA
17089,60.559
17091,127.263
17093,59.345
17095,221.838
17097,80.507
17099,205.166
17101,225.927
17103,195.615
17105,216.284
17107,189.657
17109,164.537
17111,99.999
17113,130.497
17115,129.517
17117,217.827
17119,187.764
17121,115.364
17123,268.029
17125,259.125
17127,231.955
17129,NA
17131,241.577
17133,85.124
17135,231.418
17137,140.036
17139,148.378
17141,134.574
17143,160.535
17145,112.375
17147,193.237
17149,194.357
17155,NA
17157,76.638
17159,188.324
17161,144.353
17163,149.947
