fips,median_household_income
39001,35560
39003,44103
39005,48003
39007,40544
39009,33872
39011,54274
39013,43833
39015,45568
39017,57540
39019,47075
39021,50974
39023,43625
39025,60805
39027,46787
39029,44497
39031,41701
39033,40795
39035,44190
39037,44632
39039,50663
39041,91955
39043,48011
39045,60567
39047,40503
39049,52341
39051,55120
39053,37319
39055,72430
39057,60113
39059,40930
39061,49013
39063,50895
39065,42703
39067,43173
39069,53835
39071,39858
39073,42170
39075,51996
39077,48745
39079,39460
39081,41942
39083,48533
39085,58029
39087,42874
39089,56549
39091,49783
39093,52457
39095,41777
39097,57406
39099,41375
39101,42966
39103,66952
39105,37813
39107,53099
39109,51569
39111,41528
39113,43829
39115,37067
39117,51993
39119,41130
39121,41708
39123,53914
39125,45550
39127,42017
39129,57439
39131,40283
39133,52552
39135,47818
39137,60524
39139,41877
39141,43345
39143,47209
39145,35903
39147,45444
39149,54550
39151,47137
39153,50765
39155,43073
39157,45310
39159,67382
39161,48060
39163,40680
39165,74379
39167,43509
39169,50383
39171,42492
39173,53577
39175,47555
1007,38678
1009,45813
1011,31938
1013,32229
1015,41703
1017,34177
1019,36296
1021,41627
1023,33536
1025,32011
1027,35327
1029,38056
1031,46729
1033,40576
1035,24900
1037,31212
1039,36444
1041,36022
1043,38971
1045,45028
1047,27306
1049,38192
1051,53555
1053,32330
1055,39220
1057,34680
1059,35372
1061,36024
1063,20541
1065,32714
1067,41997
1069,41571
1071,37745
1073,45610
1075,35450
1077,43125
1079,40003
1081,44570
1083,49570
1085,25876
1087,30738
1089,57993
1091,32042
1093,32299
1095,38983
1097,43809
1099,27257
1101,44369
1103,45751
1105,24537
1107,30330
1109,32825
1111,36924
1113,37049
1115,51859
1117,70187
1119,19501
1121,35155
1123,39206
1125,46565
1127,35843
1129,42811
1131,23750
1133,33194
1001,51281
1003,50254
1005,32964
2013,61518
2016,84306
2020,78326
2050,51012
2060,79750
2068,81544
2070,54173
2090,71068
2100,58750
2105,52419
2110,85746
2122,63684
2130,64222
2150,70887
2158,38229
2164,50781
2170,72983
2180,48868
2185,72576
2188,63648
2195,67935
2198,48523
2220,70376
2230,69318
2240,62670
2261,78810
2275,48603
2282,72500
2290,38491
4001,31757
4003,45075
4005,50234
4007,39751
4009,45964
4011,51628
4012,34466
4013,54229
4015,38488
4017,35921
4019,46162
4021,49477
4023,40140
4025,44748
4027,40743
5001,36411
5003,34263
5005,35396
5007,56239
5009,39251
5011,33701
5013,36899
5015,36897
5017,28913
5019,35031
5021,32552
5023,42905
5025,43158
5027,36619
5029,37732
5031,42475
5033,41268
5035,38004
5037,38103
5039,34084
5041,27197
5043,32819
5045,51223
5047,39285
5049,37066
5051,38733
5053,46171
5055,41286
5057,32122
5059,40000
5061,34229
5063,36265
5065,32630
5067,31261
5069,36747
5071,34139
5073,31194
5075,32379
5077,28393
5079,32580
5081,36205
5083,35325
5085,53631
5087,37691
5089,34195
5091,40317
5093,34612
5095,27647
5097,33037
5099,30691
5101,34536
5103,31293
5105,42346
5107,26844
5109,33097
5111,33070
5113,33702
5115,39810
5117,35833
5119,46140
5121,34044
5123,32105
5125,55817
5127,37321
5129,33083
5131,38575
5133,36579
5135,30691
5137,29264
5139,38678
5141,32312
5143,43524
5145,42554
5147,28993
5149,37804
6001,75619
6003,52917
6005,54171
6007,43444
6009,53233
6011,52168
6013,80185
6015,40847
6017,69584
6019,45233
6021,39349
6023,42197
6025,41079
6027,45955
6029,49026
6031,46481
6033,35578
6035,51555
6037,56196
6039,45073
6041,93257
6043,47681
6045,42980
6047,42462
6049,37860
6051,56944
6053,58783
6055,71379
6057,56521
6059,76509
6061,73948
6063,47333
6065,56603
6067,55987
6069,71077
6071,53433
6073,64309
6075,81294
6077,53274
6079,60691
6081,93623
6083,63985
6085,96310
6087,67256
6089,44620
6091,42833
6093,37170
6095,66828
6097,64240
6099,50125
6101,52017
6103,41001
6105,34974
6107,42031
6109,50306
6111,77348
6113,54989
6115,46892
8001,58946
8003,32395
8005,63265
8007,46646
8009,38000
8011,36791
8013,70961
8014,81898
8015,51092
8017,52554
8019,67710
8021,36652
8023,31321
8025,31151
8027,35000
8029,42452
8031,53637
8033,31875
8035,102964
8037,72214
8039,84963
8041,58206
8043,40423
8045,56590
8047,65670
8049,63628
8051,48071
8053,57083
8055,31715
8057,46014
8059,70164
8061,40304
8063,40603
8065,45367
8067,60278
8069,59805
8071,45067
8073,39005
8075,42319
8077,49322
8079,48125
8081,51387
8083,43553
8085,43999
8087,48450
8089,32311
8091,61624
8093,56969
8095,43639
8097,71196
8099,40179
8101,41286
8103,61842
8105,39672
8107,64963
8109,33393
8111,36324
8113,56047
8115,44191
8117,67983
8119,62372
8121,45541
8123,60572
8125,43105
9001,84233
9003,66395
9005,72061
9007,79893
9009,61640
9011,66233
9013,79626
9015,59392
10001,54976
10003,65476
10005,53751
12001,43073
12003,47121
12005,47368
12007,41606
12009,48925
12011,51968
12013,34510
12015,44244
12017,38312
12019,58290
12021,57452
12023,41926
12027,35165
12029,36292
12031,47690
12033,45390
12035,47866
12037,40401
12039,35567
12041,40623
12043,34877
12045,41788
12047,35048
12049,35457
12051,36771
12053,40945
12055,35093
12057,50579
12059,35020
12061,45798
12063,35098
12065,43355
12067,35864
12069,46403
12071,48537
12073,46745
12075,35782
12077,39406
12079,32164
12081,49675
12083,39459
12085,51593
12086,43129
12087,57290
12089,54116
12091,55880
12093,35405
12095,47943
12097,44254
12099,53363
12101,45064
12103,45819
12105,43162
12107,31715
12109,66194
12111,43459
12113,58923
12115,51766
12117,57010
12119,50350
12121,36289
12123,36181
12125,39163
12127,41117
12129,50340
12131,44966
12133,38970
13001,37135
13003,30933
13005,37162
13007,44297
13009,32460
13011,41472
13013,52012
13015,48893
13017,29994
13019,31835
13021,36519
13023,38991
13025,37206
13027,32663
13029,63327
13031,36032
13033,33641
13035,41667
13037,25513
13039,52473
13043,30185
13045,43586
13047,50876
13049,42778
13051,47218
13053,43378
13055,32913
13057,68926
13059,32162
13061,20438
13063,40938
13065,24015
13067,65873
13069,33965
13071,32409
13073,71021
13075,35683
13077,62461
13079,41825
13081,31615
13083,46434
13085,56943
13087,31284
13089,51376
13091,34271
13093,28696
13095,32084
13097,53881
13099,31680
13101,32959
13103,63100
13105,35388
13107,32229
13109,37865
13111,37049
13113,79066
13115,41549
13117,88816
13119,33816
13121,57207
13123,40228
13125,40759
13127,45918
13129,41612
13131,34187
13133,42408
13135,60289
13137,40907
13139,51202
13141,24925
13143,41910
13145,63824
13147,37653
13149,41525
13151,60424
13153,53270
13155,34156
13157,53379
13159,42368
13161,36385
13163,26557
13165,24604
13167,34438
13169,51857
13171,40344
13173,37605
13175,32356
13177,61537
13179,42201
13181,34243
13183,48863
13185,36834
13187,43804
13189,36656
13191,42988
13193,28684
13195,41912
13197,36242
13199,35832
13201,33983
13205,31915
13207,48744
13209,34672
13211,51820
13213,35539
13215,42306
13217,49179
13219,72182
13221,44226
13223,60109
13225,41588
13227,54123
13229,40247
13231,51338
13233,37853
13235,38750
13237,44299
13239,31487
13241,35211
13243,28377
13245,37424
13247,50455
13249,39375
13251,34466
13253,34905
13255,40246
13257,40315
13259,21118
13261,32758
13263,34078
13265,26306
13267,33980
13269,28143
13271,26449
13273,28688
13275,36641
13277,37653
13279,33679
13281,37000
13283,38596
13285,41489
13287,31806
13289,30468
13291,40799
13293,35774
13295,41632
13297,54453
13299,34909
13301,29176
13303,37932
13305,38955
13307,37063
13309,27620
13311,40888
13313,40596
13315,32043
13317,32727
13319,38485
13321,37974
15001,52108
15003,74460
15005,66250
15007,65101
15009,66476
16001,56356
16003,39565
16005,43779
16007,48654
16009,39863
16011,50155
16013,60088
16015,44238
16017,42171
16019,50762
16021,38961
16023,37891
16025,42614
16027,42888
16029,58021
16031,45695
16033,33672
16035,38837
16037,39457
16039,43848
16041,48133
16043,47988
16045,40828
16047,39930
16049,38191
16051,51171
16053,41630
16055,49403
16057,42439
16059,34329
16061,36505
16063,43273
16065,32233
16067,44853
16069,48160
16071,41338
16073,33440
16075,44257
16077,44779
16079,37665
16081,53474
16083,44048
16085,48384
16087,34775
17059,39636
17061,42565
17063,65887
17065,44159
17067,47699
17069,38838
17071,47672
17073,53480
17075,47834
17077,33871
17079,54209
17081,43247
17083,53271
17085,53221
17087,42287
17089,70696
17091,52110
17093,84385
17095,39976
17097,78026
17099,50633
17101,40841
17103,52379
17105,54254
17107,50539
17109,40314
17111,77222
17113,62211
17115,47176
17117,51206
17119,53431
17121,42238
17123,53423
17125,41567
17127,40977
17129,60486
17131,54757
17133,70859
17135,46966
17137,45978
17139,49681
17141,54849
17143,51147
17145,42478
17147,66261
17149,40588
17151,39223
17153,31980
17155,56358
17157,48158
17159,44127
17161,48817
17163,49895
17165,38258
17167,56167
17169,47723
17171,47222
17173,47850
17175,50085
17177,45331
17179,58194
17181,42606
17001,45965
17003,27265
17005,47946
17007,58248
17009,50739
17011,50423
17013,53869
17015,48631
17017,47434
17019,46495
17021,45334
17023,50517
17025,44209
17027,63236
17029,39588
17031,55251
17033,47468
17035,46061
17037,54101
17039,53959
17041,51810
17043,79658
17045,45691
17047,44497
17049,52224
17051,43944
17053,49947
17055,39512
17057,46083
17183,42977
17185,47491
17187,43699
17189,53202
17191,44993
17193,44648
17195,47401
17197,76101
17199,44453
17201,48225
17203,65852
18001,48188
18003,49092
18005,55050
18007,47046
18009,38190
18011,67552
18013,54615
18015,52005
18017,42290
18019,51699
18021,47602
18023,48478
18025,38695
18027,47342
18029,58680
18031,49799
18033,48341
18035,38830
18037,53513
18039,47913
18041,39379
18043,54914
18045,46760
18047,51748
18049,45332
18051,48303
18053,40294
18055,45397
18057,86222
18059,66606
18061,52128
18063,70163
18065,41855
18067,44226
18069,46945
18071,47000
18073,55374
18075,41021
18077,45718
18079,44736
18081,62147
18083,42725
18085,52821
