fips,median_age
39001,41
39003,38.1
39005,39.9
39007,41.8
39009,28
39011,41
39013,43.9
39015,40.8
39017,36.4
39019,44.5
39021,41.2
39023,41
39025,39.5
39027,39.3
39029,43.2
39031,41.5
39033,42.6
39035,40.4
39037,41.8
39039,39.7
39041,37.8
39043,44
39045,39
39047,41.1
39049,33.8
39051,39.8
39053,41
39055,44.2
39057,37.7
39059,42.2
39061,37
39063,39.2
39065,35.4
39067,45.9
39069,41.2
39071,40.1
39073,42.6
39075,30.4
39077,38.8
39079,39.5
39081,44.3
39083,38.7
39085,43.2
39087,41.2
39089,39.7
39091,40.7
39093,41
39095,37.7
39097,40.2
39099,43.3
39101,40.4
39103,41.4
39105,42.3
39107,40.1
39109,41.4
39111,45.6
39113,39.4
39115,43.9
39117,41.2
39119,40.3
39121,50.2
39123,47.3
39125,41
39127,40
39129,39.1
39131,40.8
39133,37.6
39135,41.9
39137,39.7
39139,41.3
39141,40.6
39143,41.3
39145,39.5
39147,39
39149,38.9
39151,41.8
39153,40.7
39155,43.6
39157,41
39159,38.1
39161,41.5
39163,41
39165,38.7
39167,43.6
39169,38.8
39171,41.6
39173,34.8
39175,42
39001,41
39003,38.1
39005,39.9
39007,41.8
39009,28
39011,41
39013,43.9
39015,40.8
39017,36.4
39019,44.5
39021,41.2
39023,41
39025,39.5
39027,39.3
39029,43.2
39031,41.5
39033,42.6
39035,40.4
39037,41.8
39039,39.7
39041,37.8
39043,44
39045,39
39047,41.1
39049,33.8
39051,39.8
39053,41
39055,44.2
39057,37.7
39059,42.2
39061,37
39063,39.2
39065,35.4
39067,45.9
39069,41.2
39071,40.1
39073,42.6
39075,30.4
39077,38.8
39079,39.5
39081,44.3
39083,38.7
39085,43.2
39087,41.2
39089,39.7
39091,40.7
39093,41
39095,37.7
39097,40.2
39099,43.3
39101,40.4
39103,41.4
39105,42.3
39107,40.1
39109,41.4
39111,45.6
39113,39.4
39115,43.9
39117,41.2
39119,40.3
39121,50.2
