fips,poverty_population
39001,6832
39003,17713
39005,7569
39007,19266
39009,18263
39011,4010
39013,9553
39015,6442
39017,50312
39019,4317
39021,4756
39023,24419
39025,21127
39027,6425
39029,15730
39031,5835
39033,6888
39035,231823
39037,6846
39039,5071
39041,8285
39043,9333
39045,15110
39047,5185
39049,208422
39051,4532
39053,6214
39055,6969
39057,21065
39059,7784
39061,143778
39063,10221
39065,5491
39067,2657
39069,3144
39071,8604
39073,4894
39075,5398
39077,7853
39079,7637
39081,11533
39083,8825
39085,20063
39087,11135
39089,20926
39091,6487
39093,42269
39095,90091
39097,3580
39099,40841
39101,11127
39103,12859
39105,5285
39107,3399
39109,13076
39111,2782
39113,96354
39115,3111
39117,4063
39119,15554
39121,1521
39123,4349
39125,2436
39127,6876
39129,6509
39131,6436
39133,24219
39135,5477
39137,1966
39139,19504
39141,13746
39143,8458
39145,18740
39147,8923
39149,4970
39151,53715
39153,78658
39155,34912
39157,12763
39159,4344
39161,3600
39163,2713
39165,11885
39167,9777
39169,14758
39171,5386
39173,17461
39175,2601
1007,3488
1009,9552
1011,2486
1013,5094
1015,23325
1017,7273
1019,4918
1021,8288
1023,3093
1025,6107
1027,2201
1029,2508
1031,8581
1033,9406
1035,4320
1037,2073
1039,7515
1041,2288
1043,14814
1045,9306
1047,14580
1049,13133
1051,10334
1053,8609
1055,20078
1057,3055
1059,7020
1061,6149
1063,3479
1065,4011
1067,2657
1069,18746
1071,9415
1073,121029
1075,3382
1077,16232
1079,6225
1081,34561
1083,12075
1085,3035
1087,4636
1089,46436
1091,5244
1093,5960
1095,18794
1097,77917
1099,6901
1101,49918
1103,18936
1105,3373
1107,4801
1109,8158
1111,4511
1113,12054
1115,13417
1117,16693
1119,5372
1121,17950
1123,9117
1125,36274
1127,14598
1129,3200
1131,4126
1133,5157
1001,7057
1003,25798
1005,6421
2013,553
2016,499
2020,23914
2050,4364
2060,69
2068,254
2070,894
2090,7752
2100,135
2105,252
2110,2110
2122,5558
2130,1640
2150,1552
2158,2622
2164,247
2170,9454
2180,2592
2185,976
2188,1824
2195,327
2198,921
2220,798
2230,44
2240,1011
2261,1029
2275,279
2282,35
2290,1252
4001,25852
4003,21102
4005,28824
4007,11839
4009,7446
4011,1215
4012,3824
4013,673527
4015,38874
4017,32141
4019,187250
4021,63201
4023,10970
4025,34117
4027,40508
5001,3705
5003,4352
5005,6452
5007,28804
5009,6465
5011,3218
5013,907
5015,5001
5017,3385
5019,4716
5021,3324
5023,3676
5025,1751
5027,5823
5029,4709
5031,19715
5033,11304
5035,11802
5037,3461
5039,1141
5041,4029
5043,5023
5045,17768
5047,3854
5049,2383
5051,19802
5053,2134
5055,7572
5057,5940
5059,5975
5061,2910
5063,7783
5065,2663
5067,3819
5069,17205
5071,5574
5073,1731
5075,3899
5077,2304
5079,2257
5081,2402
5083,4158
5085,8697
5087,3183
5089,3064
5091,8594
5093,11781
5095,2501
5097,1620
5099,2424
5101,1637
5103,5948
5105,1624
5107,6882
5109,2199
5111,5416
5113,4878
5115,11818
5117,1766
5119,67908
5121,3651
5123,5857
5125,10176
5127,2165
5129,1855
5131,28975
5133,3755
5135,3944
5137,3042
5139,8172
5141,3574
5143,41846
5145,14175
5147,1612
5149,4009
6001,194639
6003,195
6005,4191
6007,47532
6009,5590
6011,3171
6013,117915
6015,5207
6017,18831
6019,252187
6021,5721
6023,28158
6025,40114
6027,2019
6029,195744
6031,29900
6033,15597
6035,3563
6037,1800265
6039,33968
6041,20964
6043,2651
6045,17527
6047,67417
6049,1673
6051,684
6053,69475
6055,14020
6057,12367
6059,395483
6061,32427
6063,2687
6065,379985
6067,262251
6069,6202
6071,397766
6073,454876
6075,109524
6077,129390
6079,38630
6081,59232
6083,68017
6085,175690
6087,39053
6089,31707
6091,438
6093,10026
6095,55534
6097,57179
6099,105927
6101,16743
6103,12313
6105,2562
6107,125775
6109,7010
6111,91880
6113,39688
6115,15862
8001,64241
8003,4396
8005,67679
8007,1405
8009,736
8011,923
8013,42167
8014,3930
8015,1502
8017,168
8019,748
8021,1491
8023,850
8025,1449
8027,736
8029,4716
8031,110299
8033,398
8035,12110
8037,4780
8039,1649
8041,75033
8043,6272
8045,6786
8047,413
8049,1543
8051,2509
8053,70
8055,1171
8057,155
8059,46423
8061,189
8063,1157
8065,833
8067,5432
8069,42338
8071,2055
8073,624
8075,3529
8077,22545
8079,56
8081,1462
8083,4550
8085,7644
8087,3218
8089,4396
8091,355
8093,1170
8095,658
8097,1709
8099,2264
8101,31017
8103,1113
8105,2198
8107,2369
8109,1450
8111,100
8113,854
8115,335
8117,3949
8119,1728
8121,466
8123,34007
8125,1451
9001,82743
9003,104196
9005,12893
9007,10710
9009,108533
9011,25766
9013,9511
9015,11999
10001,22074
10003,60487
10005,25754
12001,58203
12003,4393
12005,26235
12007,4896
12009,76460
12011,265880
12013,2407
12015,19760
12017,23903
12019,20580
12021,47436
12023,12498
12027,10123
12029,3061
12031,150792
12033,45308
12035,14814
12037,1977
12039,11907
12041,3598
12043,2408
12045,1924
12047,3234
12049,7029
12051,9696
12053,27375
12055,18863
12057,217684
12059,4903
12061,20272
12063,9090
12065,1862
12067,1425
12069,42497
12071,105166
12073,60286
12075,8601
12077,1237
12079,4269
12081,51595
12083,60207
12085,17965
12086,530006
12087,9998
12089,9652
12091,24595
12093,9965
12095,212489
12097,58146
12099,197340
12101,66144
12103,131643
12105,111877
12107,20397
12109,19706
12111,52201
12113,19063
12115,42386
12117,52637
12119,10802
12121,10012
12123,2720
12125,2002
12127,85881
12129,4101
12131,9804
12133,4723
13001,3745
13003,2370
13005,1919
13007,752
13009,13201
13011,3026
13013,10902
13015,15819
13017,6024
13019,4923
13021,40611
13023,2616
13025,3812
13027,4265
13029,4487
13031,21794
13033,7131
13035,4329
13037,1924
13039,6365
13043,3398
13045,22441
13047,8061
13049,2010
13051,50980
13053,960
13055,5488
13057,24273
13059,40559
13061,1285
13063,65787
13065,2339
13067,87880
13069,9975
13071,12086
13073,12517
13075,4244
13077,17489
13079,2122
13081,7468
13083,2300
13085,3156
13087,7418
13089,135469
13091,4279
13093,3673
13095,27557
13097,22118
13099,2916
13101,1170
13103,5749
13105,3664
13107,6700
13109,2857
13111,5404
13113,9129
13115,19605
13117,13547
13119,5122
13121,167391
13123,6664
13125,483
13127,14981
13129,11188
13131,7648
13133,4033
13135,117553
13137,7220
13139,34120
13141,2113
13143,5724
13145,2991
13147,5403
13149,2349
13151,27162
13153,25111
13155,2300
13157,8314
13159,2785
13161,3309
13163,4889
13165,2984
13167,2125
13169,4770
13171,3713
13173,2675
13175,12823
13177,3417
13179,11047
13181,1912
13183,2936
13185,28907
13187,5559
13189,5410
13191,2956
13193,3639
13195,4798
13197,1836
13199,4733
13201,1608
13205,5905
13207,3492
13209,2076
13211,2529
13213,7765
13215,38921
13217,17281
13219,2487
13221,2316
13223,18445
13225,5471
13227,3418
13229,4455
13231,2132
13233,8767
13235,1929
13237,3446
13239,558
13241,3458
13243,2145
13245,48498
13247,14155
13249,1187
13251,3482
13253,1595
13255,14238
13257,4707
13259,1645
13261,9741
13263,1291
13265,511
13267,5646
13269,2351
13271,3565
13273,3216
13275,10335
13277,11372
13279,6674
13281,1862
13283,1242
13285,14388
13287,2027
13289,2324
13291,2860
