fips,opioid_presc_rate
2016,–
2020,66.3
2050,–
2060,–
2068,–
2070,–
2090,48.4
2100,–
2105,–
2110,79.8
2122,97.9
2130,91.5
2150,33.6
2164,–
2170,76.4
2180,–
2185,–
2188,–
2195,71
2198,56.4
2220,9.5
2230,–
2240,–
2261,45
2270,–
2275,0.6
2282,–
2290,–
1001,129.6
1003,123.8
1005,92.7
1007,97.2
1009,56.9
1011,19.8
1013,135.4
1015,161
1017,140.6
1019,157.7
1021,120.4
1023,97.8
1025,164.7
1027,133.7
1029,44.2
1031,129.5
1033,208.1
1035,93.9
1037,25.4
1039,170.9
1041,90.9
1043,166.2
1045,78.7
1047,117.8
1049,114.4
1051,117.3
1053,173.9
1055,156.8
1057,133.3
1059,223.3
1061,50.2
1063,79.8
1065,97.7
1067,30.7
1069,142.8
1071,144.6
1073,116.7
1075,104.7
1077,127.5
1079,114.1
1081,64.5
1083,76.5
1085,0.7
1087,60.1
1089,113.7
1091,131.7
1093,182.1
1095,191.1
1097,133.5
1099,135.7
1101,88
1103,135.4
1105,3.6
1107,81.5
1109,105.5
1111,108.8
1113,110.6
1115,114.4
1117,100.7
1119,40.5
1121,138.9
1123,108
1125,111.2
1127,235.4
1129,44.3
1131,66.4
1133,172.5
5001,129.1
5003,115.8
5005,142.7
5007,87.8
5009,156.4
5011,116.5
5013,83.6
5015,89.2
5017,77.7
5019,100.9
5021,134.6
5023,115.9
5025,1.1
5027,106.6
5029,131.7
5031,157.3
5033,158
5035,108.7
5037,120.3
5039,101.6
5041,143.8
5043,131.8
5045,97.9
5047,22.2
5049,116.7
5051,176.3
5053,77.5
5055,177.8
5057,115.7
5059,105.3
5061,161.6
5063,159.8
5065,104
5067,150.4
5069,108.6
5071,127.4
5073,111.2
5075,37.5
5077,68.2
5079,67.6
5081,163.5
5083,41.2
5085,101.5
5087,79.3
5089,83.3
5091,109.3
5093,138.6
5095,92.6
5097,93.4
5099,–
5101,0.8
5103,143.4
5105,51.2
5107,159.8
5109,97.6
5111,120.7
5113,117.8
5115,132.6
5117,82.1
5119,105.2
5121,114.2
5123,94.8
5125,97.4
5127,124.7
5129,82.6
5131,169
5133,65.5
5135,138.5
5137,152.7
5139,131.5
5141,103.1
5143,98.5
5145,123.5
5147,3.8
5149,66.9
4001,18.5
4003,79
4005,51.4
4007,110
4009,84.1
4011,0
4012,78.3
4013,68.2
4015,127.5
4017,67.5
4019,74
4021,58.3
4023,29.3
4025,97.8
4027,56.6
6001,31.1
6003,–
6005,112.3
6007,125.4
6009,83.5
6011,45.2
6013,40.8
6015,133.7
6017,63.7
6019,57.8
6021,85
6023,92.2
6025,52.4
6027,61.3
6029,60.3
6031,64.8
6033,116.4
6035,81.7
6037,33.4
6039,49.7
6041,36.7
6043,67.6
6045,105.1
6047,65.3
6049,96.4
6051,54.4
6053,50.6
6055,40.4
6057,83
6059,42.1
6061,62.9
6063,85.5
6065,49.4
6067,50.3
6069,43.7
6071,52.2
6073,39.2
6075,32.2
6077,54.5
6079,71.6
6081,31.5
6083,54.7
6085,24.2
6087,57
6089,118
6091,21.3
6093,117.2
6095,43
6097,52.5
6099,85.1
6101,102.9
6103,94.8
6105,98.5
6107,65.1
6109,114.6
6111,54
6113,46.7
6115,83.2
8001,52.5
8003,152.4
8005,58.2
8007,72.3
8009,86.8
8011,59.6
8013,47.7
8014,52.9
8015,94.4
8017,68.1
8019,34.8
8021,1.2
8023,–
8025,29.7
8027,–
8029,83.6
8031,39.4
8033,–
8035,50.5
8037,46.3
8039,34.9
8041,67.4
8043,72.7
8045,78.5
8047,–
8049,43.3
8051,51.6
8053,–
8055,80.6
8057,–
8059,70.4
8061,112.7
8063,41
8065,49.7
8067,58
8069,62.2
8071,126
8073,29
8075,81.6
8077,78.6
8079,–
8081,108
8083,90.8
8085,80.7
8087,65.4
8089,107.7
8091,34.4
8093,–
8095,0.1
8097,26.1
8099,79.3
8101,107.9
8103,26
8105,79.9
8107,62
8109,–
8111,–
8113,35.9
8115,1.3
8117,59.9
8119,107.7
8121,–
8123,58
8125,71.1
9001,43.4
9003,56
9005,60.6
9007,63.3
9009,63.1
9011,66.4
9013,48.4
9015,71.6
11001,32.5
10001,75.9
10003,74.7
10005,93.1
12001,69.1
12003,112.2
12005,121.2
12007,93.8
12009,92.1
12011,51.3
12013,71.2
12015,79.8
12017,104.9
12019,87.3
12021,58.2
12023,118.8
12027,57.4
12029,45.5
12031,88.6
12033,113
12035,80.3
12037,80
12039,58.8
12041,43.7
12043,5
12045,103.9
12047,36.6
12049,38.7
12051,70.9
12053,110
12055,80.2
12057,65.6
12059,83.5
12061,96.7
12063,109.6
12065,51.7
12067,57.4
12069,82.3
12071,66.3
12073,71.5
12075,102.8
12077,40.8
12079,81.3
12081,76.2
12083,90.8
12085,74.8
12086,30.5
12087,79.9
12089,110.4
12091,85.4
12093,101.6
12095,45.2
12097,53
12099,59.3
12101,86.6
12103,82.4
12105,72.9
12107,110
12109,65
12111,65.6
12113,97.4
12115,79
12117,55.9
12119,72.6
12121,85.7
12123,113.8
12125,54.6
12127,81.8
12129,83.8
12131,89
12133,124.7
13001,123.7
13003,67.9
13005,157.5
13007,–
13009,98.4
13011,42.3
13013,84.6
13015,102.9
13017,199.4
13019,56.1
13021,130.7
13023,131.8
13025,55.2
13027,91
13029,90.7
13031,84.7
13033,84.3
13035,100.2
13037,2.2
13039,73.9
13043,169.7
13045,116.6
13047,116.1
13049,104
13051,84.9
13053,–
13055,131.4
13057,70
13059,97.1
13061,49
13063,44.6
13065,150.8
13067,61.3
13069,173.8
13071,85.7
13073,81
13075,105.7
13077,81.3
13079,1.1
13081,174.5
13083,74.9
13085,135.6
13087,122.6
13089,45.1
13091,93.1
13093,0.6
13095,119.3
13097,94.5
13099,118.9
13101,–
13103,79.7
13105,146.7
13107,113.4
13109,122
13111,154.3
13113,91.8
13115,153.3
13117,51.2
13119,122.9
13121,49.2
13123,135.2
13125,–
13127,104.5
13129,117.8
13131,78.7
13133,142
13135,47.4
13137,101.8
13139,94.5
13141,53.7
13143,193.7
13145,7.8
13147,103.5
13149,0.6
13151,78.6
13153,93.5
13155,57.2
13157,116.6
13159,58.8
13161,91.7
13163,125.1
13165,31.1
13167,33.8
13169,53.8
13171,75.6
13173,79.5
13175,122.8
13177,52.4
13179,55
13181,26.9
13183,0.1
13185,92.7
13187,83.1
13189,163.2
13191,75.2
13193,68
13195,103.6
13197,19.4
13199,82.8
13201,108.8
13205,100.4
13207,67.8
13209,36.9
13211,79.4
13213,97.7
13215,90.7
13217,81.9
13219,63.2
13221,40.3
13223,58.6
13225,88.7
13227,122
13229,64.6
13231,12.4
13233,166.8
13235,88.7
13237,67.9
13239,–
13241,134
13243,138.3
13245,86.8
13247,79.3
13249,3.2
13251,58.1
13253,178.8
13255,136.7
13257,163.7
13259,61.9
13261,105.7
13263,–
13265,–
13267,54.1
13269,72.9
13271,58.6
13273,51.3
13275,107.4
13277,149.2
13279,152.8
13281,111
13283,76.6
13285,98.9
13287,84.2
13289,1.3
13291,128.6
13293,138.4
13295,54.8
13297,111
13299,221.3
13301,0.2
13303,95.6
13305,144
13307,60
13309,32.9
13311,100.9
13313,93.4
13315,3.5
13317,138
13319,92
13321,95.4
15001,66.4
15003,33.6
15005,–
15007,55.1
15009,56.8
19001,51.9
19003,13.3
19005,44.5
19007,117.1
19009,47.4
19011,12.9
19013,72.9
19015,61.1
19017,48.5
19019,37.8
19021,42.2
19023,17.1
19025,68
19027,99.3
19029,100.2
19031,19.8
19033,97.8
19035,43.2
19037,26.9
19039,87.6
19041,105.1
19043,28.4
19045,79.1
19047,63.5
19049,17.6
19051,58.1
19053,45.3
19055,46.5
19057,95.6
19059,77.6
19061,61.2
19063,62.8
19065,64.8
19067,85.2
19069,7.7
19071,71.2
19073,92.8
19075,31.8
19077,2.6
19079,65.1
19081,0.3
19083,55.9
19085,69.5
19087,68.4
19089,30.8
19091,61.5
19093,57.5
19095,35.7
19097,35.8
19099,70.4
19101,91.5
19103,32.3
19105,46.6
19107,–
19109,38.4
19111,125.6
19113,65
19115,27.8
19117,107.6
19119,24.9
19121,84.2
19123,67.9
19125,61.2
19127,77.4
19129,40.5
19131,26.8
19133,91.4
19135,94.3
19137,83.7
19139,58.6
19141,57.9
19143,34.9
19145,112.4
19147,38
19149,45.4
19151,63.2
19153,82.2
19155,90.6
19157,54.3
19159,89.3
19161,18.4
19163,73.3
19165,60.6
19167,32
19169,41.6
19171,31
19173,20.6
19175,126.2
19177,1.4
19179,120.7
19181,40.5
19183,45.6
19185,15.8
19187,90.4
19189,54.5
19191,47.2
19193,72.7
19195,0.8
19197,64.7
16001,72
16003,–
16005,101.6
16007,113.3
16009,90
16011,66.8
16013,46
16015,–
16017,65
16019,92.3
16021,99.8
16023,99.3
16025,–
16027,76.3
16029,107.1
16031,102.8
16033,–
16035,64.5
16037,24.6
16039,69.2
16041,75.7
16043,43.3
16045,108.8
16047,60
16049,56.4
16051,37.5
16053,70.9
16055,95
16057,61.2
16059,99.1
16061,8.9
16063,–
16065,51.8
16067,30.3
16069,127.8
16071,103.8
16073,12.1
16075,47.9
16077,71.6
16079,106.5
16081,57.8
16083,99.9
16085,95.9
16087,113.5
17001,133.7
17003,4.4
17005,55.5
17007,50.6
17009,2.7
17011,31
17013,2
17015,36.2
17017,24.6
17019,65.9
17021,86.8
17023,26.6
17025,76
17027,34.2
17029,99.8
17031,41.3
17033,32
17035,0.6
17037,57.7
17039,85.3
17041,32.4
17043,46.7
17045,105.5
17047,96.2
17049,71.2
17051,61.5
17053,3.7
17055,138.5
17057,69.1
17059,0.1
17061,2.5
17063,91.6
17065,2.7
17067,25.9
17069,239.5
17071,0.3
17073,61.5
17075,57.6
17077,104.5
17079,42.3
17081,113.7
17083,117.9
17085,38.2
17087,29.8
17089,41.5
17091,81.8
17093,52.1
17095,106.9
17097,52.2
17099,84.6
17101,86.8
17103,63.2
17105,71.3
17107,80.1
17109,81.1
17111,63
17113,57.3
17115,98.2
17117,39.2
17119,106.1
17121,127.8
17123,55.7
17125,60.6
17127,149.3
17129,13.4
17131,34.9
17133,71.9
17135,122.5
17137,127.4
17139,39.1
17141,24
17143,79
17145,50.2
17147,35.8
17149,26.8
17151,49.1
17153,83.4
17155,27
17157,68.6
17159,88.4
17161,84.2
17163,77
17165,217.1
17167,98.4
17169,2.6
17171,0.1
17173,33
17175,–
17177,82.9
17179,90.9
17181,159.4
17183,93.6
17185,112.3
17187,76.7
17189,32.5
17191,79.9
17193,113.1
17195,64.1
17197,53.9
17199,151.9
17201,94.5
17203,28.9
18001,63.8
18003,76
18005,93.5
18007,20.8
18009,83.3
18011,66.7
18013,39.7
18015,30.6
18017,69.9
18019,104.8
18021,94.8
18023,70
18025,51.8
18027,80.8
18029,88.8
18031,72.9
18033,69.1
18035,99.4
18037,102.7
18039,73
18041,115.6
18043,131.9
18045,117
18047,50.3
18049,94.4
18051,92.8
18053,104.2
18055,94
18057,50.6
18059,76.8
18061,91.7
18063,73
18065,97.4
18067,122.7
18069,78.7
18071,90.1
18073,122.5
18075,89.2
18077,113.9
18079,98.2
18081,84.1
18083,129.6
18085,74.1
18087,23.1
18089,82.8
18091,105.9
18093,132.8
18095,110.1
18097,72.4
18099,89.2
18101,108.8
18103,67.3
18105,71.5
18107,98.6
18109,110.9
18111,25.8
18113,77
18115,4.1
18117,105.9
18119,74.7
18121,41.1
18123,105.8
18125,94.6
18127,89.9
18129,55.7
18131,71.5
18133,78.8
18135,77.2
18137,107.8
18139,79.2
18141,81.3
18143,149
18145,78.2
18147,39.5
18149,114.9
18151,82.3
18153,97.9
18155,45.6
18157,71.4
18159,59
18161,56.3
18163,137.8
18165,92.2
18167,103.8
18169,94.2
18171,–
18173,83.4
18175,74.3
18177,101.5
18179,75.5
18181,83
18183,93.7
20001,94.7
20003,1.1
20005,104.6
20007,4.3
20009,103.6
20011,116.7
20013,47.7
20015,96.6
20017,–
20019,14.3
20021,42.6
20023,116.2
20025,0.9
20027,83.6
20029,47.2
20031,5.1
20033,1.1
20035,94.9
20037,105.2
20039,82.5
20041,1.6
20043,–
20045,67.4
20047,65.7
20049,5.5
20051,107.9
20053,70.8
20055,74.5
20057,83.7
20059,104.1
20061,62.8
20063,29.9
20065,144.7
20067,61
20069,23.2
20071,110.5
20073,2.1
20075,70.4
20077,64.6
20079,84.8
20081,2.4
20083,0.3
20085,48.3
20087,0.6
20089,0.6
20091,66.9
20093,48.1
20095,–
20097,69.5
20099,105.7
20101,90.2
20103,44.3
20105,1.3
20107,3.7
20109,66.2
20111,76.6
20113,79.7
20115,29.1
20117,32.6
20119,0.9
20121,27.8
20123,96.8
20125,113.3
20127,1.2
20129,137
20131,28.6
20133,38.3
20135,97.7
20137,102.2
20139,1.7
20141,165.4
20143,1.6
20145,51
20147,2.4
20149,1.1
20151,184.8
20153,0.3
20155,106.7
20157,2.1
20159,50.1
20161,66.8
20163,2.3
20165,42.1
20167,2.5
20169,137.2
20171,93.6
20173,99.9
20175,103
20177,106.3
20179,1.6
20181,90.5
20183,137.1
20185,–
20187,40.9
20189,25.2
20191,66.5
20193,89.1
20195,137.9
20197,–
20199,41.8
20201,81.3
20203,–
20205,117.3
20207,0.6
20209,71.5
21001,100.2
21003,92.7
21005,90.4
21007,102.9
21009,125.6
21011,53.7
21013,249.7
21015,89
21017,98
21019,90.8
21021,117.6
21023,18.5
21025,185.8
21027,47.2
21029,64.6
21031,90.5
21033,132.2
21035,97.3
21037,85.9
21039,81.3
21041,163.8
21043,75.3
21045,106.1
21047,63.5
21049,95.1
21051,219.1
21053,156.6
21055,122.5
21057,174.3
21059,103.2
21061,90.9
21063,39.3
21065,146.1
21067,65.4
21069,71.1
21071,226.2
