fips,total_population
39001,28229
39003,105196
39005,53189
39007,99777
39009,64974
39011,45873
39013,69560
39015,44247
39017,372538
39019,28361
39021,39393
39023,136827
39025,200285
39027,41892
39029,105987
39031,36724
39033,42725
39035,1263189
39037,52356
39039,38669
39041,185433
39043,76141
39045,149112
39047,28769
39049,1215761
39051,42485
39053,30565
39055,93874
39057,164192
39059,39626
39061,804194
39063,75428
39065,31736
39067,15633
39069,28015
39071,43170
39073,28914
39075,43436
39077,58937
39079,32854
39081,68053
39083,61004
39085,229437
39087,61827
39089,168693
39091,45484
39093,303152
39095,436261
39097,43456
39099,234550
39101,65943
39103,174831
39105,23473
39107,40863
39109,103517
39111,14547
39113,533763
39115,14913
39117,34996
39119,86016
39121,14508
39123,41162
39125,19165
39127,36025
39129,56515
39131,28396
39133,161897
39135,41682
39137,34184
39139,122312
39141,77334
39143,60187
39145,78017
39147,55929
39149,49067
39151,374979
39153,541847
39155,206373
39157,92697
39159,53470
39161,28576
39163,13234
39165,219916
39167,61351
39169,115371
39171,37386
39173,128885
39175,22467
1007,22604
1009,57710
1011,10678
1013,20354
1015,116648
1017,34079
1019,26008
1021,43819
1023,13395
1025,25070
1027,13537
1029,15002
1031,50884
1033,54444
1035,12865
1037,11027
1039,37886
1041,13938
1043,80965
1045,49866
1047,42154
1049,71068
1051,80763
1053,37935
1055,103766
1057,16896
1059,31634
1061,26815
1063,8697
1065,15256
1067,17252
1069,103534
1071,52860
1073,659026
1075,14133
1077,92737
1079,33586
1081,150982
1083,88805
1085,10742
1087,20018
1089,346438
1091,20306
1093,30387
1095,94318
1097,414251
1099,22217
1101,228138
1103,119786
1105,10038
1107,19856
1109,33155
1111,22648
1113,58302
1115,85864
1117,203530
1119,13341
1121,81437
1123,41153
1125,200458
1127,65923
1129,16997
1131,11235
1133,24130
1001,55221
1003,195121
1005,26932
2013,3304
2016,5684
2020,299107
2050,17776
2060,970
2068,2060
2070,4979
2090,99705
2100,2560
2105,2128
2110,32531
2122,57221
2130,13699
2150,13973
2158,7914
2164,1474
2170,96178
2180,9854
2185,9667
2188,7732
2195,3221
2198,6376
2220,8943
2230,999
2240,7029
2261,9617
2275,2387
2282,643
2290,5644
4001,72124
4003,129647
4005,136701
4007,53165
4009,37407
4011,9023
4012,20335
4013,4018143
4015,203362
4017,107656
4019,998537
4021,389772
4023,47073
4025,215996
4027,202987
5001,18731
5003,21229
5005,41040
5007,238198
5009,37227
5011,11206
5013,5245
5015,27635
5017,11353
5019,22751
5021,15400
5023,25711
5025,8510
5027,24327
5029,21110
5031,101409
5033,61748
5035,49765
5037,17467
5039,7868
5041,12379
5043,18740
5045,119343
5047,17866
5049,12224
5051,96954
5053,18054
5055,43382
5057,22336
5059,33316
5061,13555
5063,36952
5065,13480
5067,17597
5069,73548
5071,25930
5073,7270
5075,17029
5077,9966
5079,14062
5081,12720
5083,22001
5085,70691
5087,15702
5089,16458
5091,43652
5093,44864
5095,7713
5097,9197
5099,8793
5101,8052
5103,25044
5105,10300
5107,20391
5109,11087
5111,24210
5113,20364
5115,62830
5117,8402
5119,390463
5121,17695
5123,27345
5125,113833
5127,10870
5129,7965
5131,127273
5133,17268
5135,17055
5137,12512
5139,40633
5141,17002
5143,216432
5145,78660
5147,6983
5149,21835
6001,1584983
6003,1131
6005,36995
6007,222564
6009,44767
6011,21396
6013,1096068
6015,27788
6017,182093
6019,956749
6021,28029
6023,135034
6025,178206
6027,18373
6029,865736
6031,150998
6033,64158
6035,32645
6037,10038388
6039,153187
6041,258349
6043,17789
6045,87544
6047,263885
6049,9184
6051,14146
6053,428441
6055,140295
6057,98570
6059,3116069
6061,366280
6063,18966
6065,2298032
6067,1465832
6069,57557
6071,2094769
6073,3223096
6075,840763
6077,708554
6079,276517
6081,748731
6083,435850
6085,1868149
6087,269278
6089,178942
6091,3021
6093,43895
6095,425753
6097,495078
6099,527367
6101,95247
6103,63152
6105,13373
6107,454033
6109,54079
6111,840833
6113,207320
6115,73437
8001,471206
8003,16269
8005,608310
8007,12174
8009,3701
8011,5895
8013,310032
8014,60699
8015,18309
8017,2002
8019,9136
8021,8249
8023,3581
8025,5551
8027,4303
8029,30214
8031,649654
8033,1862
8035,306974
8037,52576
8039,23855
8041,655024
8043,46809
8045,57076
8047,5605
8049,14411
8051,15651
8053,874
8055,6502
8057,1335
8059,552344
8061,1463
8063,7980
8065,7362
8067,53182
8069,318227
8071,14503
8073,5478
8075,21928
8077,147834
8079,733
8081,13117
8083,25700
8085,40815
8087,28359
8089,18572
8091,4580
8093,16189
8095,4371
8097,17420
8099,12235
8101,161519
8103,6712
8105,11745
8107,23606
8109,6238
8111,606
8113,7676
8115,2365
8117,28940
8119,23340
8121,4795
8123,270948
8125,10185
9001,939983
9003,896943
9005,186304
9007,165165
9009,862224
9011,273185
9013,151948
9015,117470
10001,169509
10003,549643
10005,207302
12001,254218
12003,27135
12005,175353
12007,27223
12009,553591
12011,1843152
12013,14615
12015,165783
12017,139654
12019,197417
12021,341091
12023,67806
12027,34957
12029,16091
12031,890673
12033,306327
12035,100783
12037,11628
12039,46424
12041,16992
12043,13272
12045,15785
12047,14395
12049,27468
12051,38363
12053,174809
12055,98328
12057,1302884
12059,19635
12061,142866
12063,48900
12065,14198
12067,8801
12069,310561
12071,663675
12073,282940
12075,39821
12077,8295
12079,18729
12081,343729
12083,336811
12085,151586
12086,2639042
12087,75901
12089,75880
12091,192237
12093,39255
12095,1229039
12097,300870
12099,1378806
12101,479288
12103,931477
12105,626676
12107,72696
12109,210495
12111,288006
12113,161021
12115,392038
12117,437346
12119,108501
12121,43595
12123,22685
12125,15191
12127,503719
12129,31128
12131,59487
12133,24629
13001,18417
13003,8294
13005,11222
13007,3292
13009,45795
13011,18336
13013,72012
13015,101336
13017,17477
13019,19019
13021,154816
13023,12746
13025,18452
13027,15637
13029,33151
13031,72386
13033,23007
13035,23445
13037,6489
13039,51445
13043,11031
13045,112595
13047,65375
13049,13130
13051,279290
13053,11914
13055,25241
13057,225944
13059,120905
13061,3104
13063,267234
13065,6791
13067,719133
13069,43003
13071,46024
13073,136204
13075,17033
13077,133416
13079,12539
13081,23314
13083,16445
13085,22673
13087,27378
13089,716331
13091,21180
13093,14293
13095,93310
13097,136520
13099,10579
13101,4048
13103,54630
13105,19537
13107,22731
13109,10814
13111,23742
13113,108655
13115,96169
13117,196236
13119,22110
13121,983903
13123,28673
13125,3087
13127,81743
13129,55889
13131,25243
13133,16331
13135,859234
13137,43527
13139,187916
13141,8881
13143,28565
13145,32776
13147,25498
13149,11617
13151,211512
13153,147570
13155,9408
13157,61420
13159,13593
13161,14990
13163,16374
13165,8922
13167,9794
13169,28738
13171,18114
13173,10403
13175,47886
13177,28946
13179,64427
13181,7720
13183,16588
13185,113203
13187,30921
13189,21582
13191,14007
13193,14045
13195,28232
13197,8739
13199,21297
13201,5936
13205,22982
13207,26915
13209,8968
13211,17900
13213,39401
13215,200285
13217,102645
13219,34400
13221,14688
13223,147400
13225,27086
13227,29740
13229,18934
13231,17812
13233,41215
13235,11590
13237,21247
13239,2326
13241,16266
13243,7315
13245,201291
13247,86901
13249,5074
13251,14206
13253,8769
13255,63873
13257,25620
13259,5868
13261,31429
13263,6490
13265,1721
13267,25302
13269,8401
13271,16416
13273,9213
13275,44824
13277,40787
13279,27210
13281,10800
13283,6762
13285,68867
13287,8338
13289,8509
13291,21725
13293,26528
13295,68285
13297,86201
13299,35723
13301,5561
13303,20785
13305,30046
13307,2720
13309,7956
13311,27791
13313,103456
13315,8972
13317,9991
13319,9386
13321,21156
15001,191482
15003,984178
15005,85
15007,69691
15009,160863
16001,417501
16003,3880
