fips,Diagnosed HIV,ED Heroin Overdose,ED Opioid Overdose,EMS Narcan,Fatal Fentanyl and/or Heroin Overdose,Fatal Prescription Opioid Overdose,Reported Hepatitis C (18-30 year olds),p_rate,locality_name,Average Household size,High School graduate or higher,Veterans,With Disability,Foreign Born,Language spoken at home - English,Language spoken at home - Non English,Unemployment Rate,Mean travel time to work,Median household income,Health Insurance Coverage,Health Insurance Coverage - Public,Below poverty,Median home value,Total population,Median Age
51001,3,6.1,60.7,48.6,12.1,12.1,135.1,60.7,Accomack County,2.31,80.5,12.1,12.4,6.6,89.4,10.6,7,21.3,38503,82,35.7,19.5,151900,33060,45.4
51003,2.8,8.4,84.2,15.9,0.9,0.9,23.6,59.1,Albemarle County,2.44,91.4,8.2,8.6,9.9,88.5,11.5,3.2,22.3,70342,92,22.6,9.7,317300,104287,38.9
51005,6.4,0,218,12.8,6.4,12.8,246.7,86.8,Alleghany County,2.28,84.5,9.6,19.6,1.3,97.9,2.1,4.6,24.4,45538,91.7,41.6,18.3,111500,15919,48
51007,7.7,0,54.2,23.2,7.7,0,340.3,48.1,Amelia County,2.79,81.3,10.1,13.4,0.2,98.9,1.1,4,36.7,58269,85.6,34.6,11.6,171500,12793,44.3
51009,6.3,0,79,19,3.2,6.3,61.7,75,Amherst County,2.51,82.7,9.9,14.5,1.7,96,4,5.5,25,47002,87.9,34.7,14.1,149400,31999,43.9
51011,0,0,109.9,77.5,12.9,6.5,90.4,125,Appomattox County,2.55,83.6,11.6,16.4,0.9,98.7,1.3,4.5,31.9,52134,90.7,35.6,17.3,149600,15314,42.8
51013,13.5,5.2,60,35.2,6.1,4.8,66.2,24.4,Arlington County,2.21,93.8,6.7,5.4,22.7,70.9,29.1,3.4,28.3,108706,91.4,14.1,8.7,623300,226092,34.1
51015,2.7,0,13.3,12,0,2.7,194.1,19.7,Augusta County,2.49,86.5,10.2,14.1,1.9,97.4,2.6,4.9,23.6,56802,89.6,31.9,9.2,199700,74330,44.5
51017,0,0,0,0,0,0,514.6,1.4,Bath County,2.11,87.3,7.9,17.5,2.7,98,2,8.7,27.7,44985,89.2,36.3,8.4,146400,4558,47.2
51019,2.6,5.1,88.5,19.2,1.3,2.6,66.3,44.9,Bedford County,2.48,88.9,11.3,14.4,2.2,96.4,3.6,4.7,27.2,56725,91.6,30.3,9.2,196900,76933,45.6
51021,0,0,15.4,0,0,0,885,66.8,Bland County,2.24,89.2,9.4,17.1,0.9,98.9,1.1,6.5,30.8,47800,90.4,34.8,9.7,102200,6612,44.9
51023,3,3,102.3,27.1,3,6,167.3,39.6,Botetourt County,2.47,91.6,10.4,14.1,2.7,97.4,2.6,4.1,27.6,61470,95,29.2,8.3,209700,33192,46.9
51025,18.5,0,92.3,12.3,6.2,0,870.8,23.9,Brunswick County,2.37,77.3,7.9,19.1,1.9,95.9,4.1,6.8,28.8,38858,87.6,41.4,21.9,109100,16573,42.6
51027,0,0,144.3,36.1,0,13.5,583.1,131,Buchanan County,2.43,70,4.1,23.8,1.2,98.4,1.6,9.7,29.3,30335,86,48.4,23.9,70500,23158,45.9
51029,23.5,0,88,17.6,0,0,291.5,2.1,Buckingham County,2.64,77.5,9.1,17,1.7,96.6,3.4,8.7,35.1,43514,85.7,35.7,17.6,123800,17030,42.4
51031,3.6,1.8,67.3,51,3.6,9.1,55.1,43,Campbell County,2.45,85.4,10.1,14.7,2.6,97,3,4.3,24.2,47005,90.3,33.5,12.5,152600,55061,42.8
51033,6.6,16.6,159.1,63,13.3,16.6,306.1,35.3,Caroline County,2.51,83.4,13.9,13.3,2.9,95.4,4.6,7.1,33.9,57294,90.3,31.9,13.1,189000,29640,39.8
51035,0,0,67.7,37.2,0,0,243,44.9,Carroll County,2.34,80.4,8.4,18.5,2.1,97.1,2.9,5.3,25.4,37048,86.5,38.6,15.7,109400,29733,46.7
51036,0,0,155.6,0,14.1,0,0,,Charles City County,2.48,77.3,9.8,15.3,1.7,97.7,2.3,7.3,33.4,54167,88,37,14.6,163400,7086,49.2
51037,8.2,0,115.4,24.7,0,0,0,38.9,Charlotte County,2.63,80,10.3,21.3,0.7,98.2,1.8,7,30.3,33837,83.9,42.7,24.7,99900,12232,44.7
51041,13.9,15.3,111.2,52.8,14.2,4.4,176.1,67.8,Chesterfield County,2.76,91.4,10.5,10.3,7.9,89.1,10.9,6.4,26.3,73869,91.6,23.3,7.4,218700,331839,38.6
51043,13.9,27.8,48.7,62.6,20.9,0,330.9,28.5,Clarke County,2.52,87.4,11.5,10.8,3.5,94.6,5.4,4.8,34.5,71986,85.9,25,11.3,333000,14307,45.4
51045,0,0,116.3,38.8,19.4,0,0,5.2,Craig County,2.24,87.1,11.2,23,0,99,1,5.6,37.9,40500,88.9,43.2,12.9,153700,5195,47
51047,8,87.9,187.7,119.8,28,6,366.3,65.5,Culpeper County,2.81,83.6,10.8,10.9,7.7,90.3,9.7,6.4,39.9,66160,88.2,26.7,9.2,255000,48952,38.9
51049,10.4,10.4,82.9,10.4,10.4,0,0,29.3,Cumberland County,2.38,79.4,8.5,18.9,0.4,98.7,1.3,8.5,41.9,37489,85.3,43.1,22.8,139900,9769,44.4
51051,13.4,0,240.5,86.9,0,40.1,430,185.1,Dickenson County,2.46,73.8,7.2,25.4,0.6,99,1,7.2,29.2,31226,88.6,48.5,21.5,72700,15304,43.4
51053,7.1,14.2,17.8,21.3,7.1,3.6,148.6,5.1,Dinwiddie County,2.65,81.1,9.7,16.3,2.9,96.1,3.9,9.3,29.7,51579,88.1,33.2,15.9,153800,28155,42.2
51057,18,0,161.8,27,9,9,0,109.5,Essex County,2.46,82.1,8.9,11,1.5,98,2,6.2,33.4,47527,88,33.5,13.4,166200,11130,45
51059,10,9.2,79.9,25.5,5.5,3,70.8,29.7,Fairfax County,2.86,91.7,9.1,6.8,30.3,62.1,37.9,4.7,32,114329,89.7,17.7,6,516800,1132887,37.6
51061,7.2,30.4,121.6,63.7,26.1,13,262.5,72.2,Fauquier County,2.83,91.5,12,10.4,6.3,91.6,8.4,4,39.6,91221,91.4,22.3,6,363800,68025,41.6
51063,6.4,0,76.3,19.1,6.4,0,360.8,50,Floyd County,2.46,83.5,10.4,14.2,2.1,98.1,1.9,6.9,31.3,47288,90.4,35.5,11.8,153700,15587,45.8
51065,0,7.6,53.3,26.6,0,3.8,365,31.4,Fluvanna County,2.53,89.3,11.4,13.6,2.8,96.2,3.8,5.3,32.7,66425,91.9,28.4,6.9,222500,26046,42.6
51067,1.8,10.7,148,21.4,3.6,14.3,276.3,80.1,Franklin County,2.38,85.4,9.5,15.1,2.2,96.5,3.5,6.4,30.4,48720,87.8,35.4,14.6,167900,56230,45.4
51069,1.2,16.6,61.6,64,17.8,11.8,390.2,58.2,Frederick County,2.71,88.1,11,11.5,6,90.8,9.2,5.1,30.5,68929,89,24.9,5.9,231400,82321,40.3
51071,0,0,130.5,5.9,0,11.9,425.7,119.8,Giles County,2.3,85.2,8.9,19.6,0.8,95.6,4.4,4.7,24.8,47675,86.4,33.9,11.8,105300,16871,43.6
51073,0,29.6,134.4,53.7,18.8,5.4,185.2,107.5,Gloucester County,2.53,89.8,16.3,14.9,2.2,96.2,3.8,4.2,32.5,62878,89.3,28.5,7.6,225100,37021,44.3
51075,4.4,17.6,75,35.3,0,4.4,504.1,14.8,Goochland County,2.54,90.6,8.9,12.3,3.5,95.3,4.7,5.1,30.2,82326,94.4,29,5,302600,21979,47.7
51077,0,13.2,125.8,6.6,0,6.6,53.3,25,Grayson County,2.18,79.2,8.7,18.2,1.8,96.3,3.7,7.1,28.5,31002,88.6,45.4,19.8,91500,15180,48.2
51079,0,41.3,185.8,77.4,0,0,37.2,77.8,Greene County,2.66,83.5,11.8,14.2,4.5,94.1,5.9,7.8,29.8,61615,84.4,28.3,11,241000,19085,40.4
51081,8.5,34.2,136.7,0,0,0,527.6,,Greensville County,2.32,76.6,10.4,19.2,2.5,94.9,5.1,6.6,23.1,40559,89.2,38.3,17.8,95900,11698,41.2
51083,17.1,5.7,51.4,14.3,0,5.7,206.8,81.3,Halifax County,2.42,79,8.9,17.9,1.5,97.4,2.6,5.4,25,37001,85.9,41.4,18.8,109200,35305,45.7
51085,5.7,11.5,120.7,10.5,7.7,1.9,123.9,90.2,Hanover County,2.66,92.6,8.9,9.6,3.5,95.9,4.1,3.8,26.2,81170,94.3,22.8,6.2,258900,102199,42.4
51087,14.4,27.3,155.9,68.3,10.7,3.4,106.7,68.2,Henrico County,2.55,90.9,8.3,10.6,11.9,85.3,14.7,6.3,21.9,63699,90.1,25.1,10.6,216400,321921,38.1
51089,1.9,0,313,62.2,1.9,7.8,131,73.4,Henry County,2.33,79.2,10,19.5,2.8,94.5,5.5,9.4,24.2,34992,87.5,44.8,19,95500,52209,46.2
51091,0,0,0,0,0,0,0,,Highland County,1.99,84.1,14.9,18.7,0.3,99.3,0.7,1.3,23.6,44877,84.9,42.3,12.6,160800,2230,59.8
51093,2.7,2.7,90.2,27.3,8.2,10.9,119,74.1,Isle of Wight County,2.57,86.6,13,11.5,2,96.2,3.8,8.1,29.1,66835,92.6,29.7,10.9,244600,36027,44.4
51095,10.8,8.1,98.1,6.7,2.7,1.3,30.8,96.2,James City County,2.5,93.9,16.3,11.7,6.7,92.6,7.4,4.9,25.4,80226,92.4,30.8,7.9,318700,71900,45.9
51097,14,0,111.7,0,14,0,0,,King and Queen County,2.54,85.5,13.1,12.3,2.7,96.6,3.4,6,38,48852,87.1,34.7,14.2,170000,7140,45.8
51099,7.7,11.5,127,34.6,15.4,7.7,49,54.6,King George County,2.9,92.8,18.5,11.3,2.5,96.1,3.9,6.5,36.6,84342,92.4,23.1,5.6,288000,25260,37
51101,0,18.4,110.2,6.1,18.4,12.2,41.3,40.3,King William County,2.65,88.3,9.2,9.8,1.9,97.8,2.2,3.9,35.6,64297,91.8,25.1,12.1,200100,16156,40.9
51103,0,0,200.5,18.2,9.1,0,0,156.9,Lancaster County,2.15,89.3,14.2,16.2,2,97.4,2.6,5.4,26.4,50118,88,44.5,10,227000,11055,56.4
51105,0,0,103.4,12.4,0,8.3,834.3,149.5,Lee County,2.52,75.4,8.1,25.3,1.3,97.7,2.3,12.3,28.6,31577,84.1,49.6,26.1,78600,24911,43.2
51107,5.2,7.8,73.6,25.9,6,2.1,70.8,36.8,Loudoun County,3.08,93.5,8.3,5.5,23.4,69.4,30.6,3.9,33.7,125672,92.5,12.1,4,462100,362435,35.5
51109,0,56.8,147.6,79.5,8.5,0,274.3,49.8,Louisa County,2.6,83.6,11.2,15.7,3.2,95,5,8.1,36,54662,85.5,31.4,12,202100,34350,44
51111,16.3,0,89.6,8.1,0,0,114.4,1.6,Lunenburg County,2.46,75.8,11.4,20.6,4.1,94,6,6.2,29.8,39911,83.8,43.6,20.6,109200,12450,45.2
51113,0,99.4,91.8,84.1,0,0,0,,Madison County,2.56,85.8,9.2,12.9,1.8,97.2,2.8,5.3,30.4,48271,84.6,33.4,11.7,241300,13122,44.6
51115,0,11.4,125.3,0,0,0,297.6,55.2,Mathews County,2.28,91.5,13.7,14.5,1.3,97.6,2.4,2,30.5,64049,91.6,35.2,9.6,232000,8848,51.5
51117,3.2,0,123,25.9,6.5,6.5,221.4,105.7,Mecklenburg County,2.49,79.9,11.5,20.3,1.6,97.6,2.4,6.1,24.8,40040,87,41.9,17.8,123300,31209,48.2
51119,0,18.6,102.1,46.4,0,9.3,390.3,3.1,Middlesex County,2.31,88.6,12.9,16.9,1.2,98.4,1.6,5.3,30.3,53093,90.2,40.3,10.9,248800,10728,53.1
51121,5.1,2,56.8,11.2,6.1,5.1,40.7,61.6,Montgomery County,2.47,91.3,5.6,9.7,8.5,89.7,10.3,4.6,19,49712,93.1,20,24,202900,97227,27.9
51125,6.7,0,94.2,20.2,20.2,6.7,0,21.9,Nelson County,2.31,86.4,9.6,14.3,3.3,96.9,3.1,3.8,30.1,50994,87.9,37.1,14.6,231500,14831,48.7
51127,4.7,14.2,118.2,33.1,4.7,0,97.1,58.7,New Kent County,2.59,91.8,12.8,10.5,2.8,97.3,2.7,4.9,34.3,75303,93.7,22.3,5,249100,20051,44
51131,0,0,131.8,8.2,0,16.5,65.2,113.8,Northampton County,2.32,79.3,11,14.3,5.6,91.3,8.7,7,20.4,37011,83.4,44.8,21.9,164600,12118,48.4
51133,0,0,73.6,16.4,0,0,77.3,30.7,Northumberland County,2.12,89.7,13.8,14.9,2.5,97.7,2.3,7.6,27.3,54440,91.4,44.7,11,256400,12272,55.5
51135,51.3,0,153.9,19.2,0,0,464.4,77.3,Nottoway County,2.46,74.9,8,18.1,6,95.9,4.1,8.3,25.6,36849,89.1,48.1,21.3,125500,15641,41.9
51137,5.6,59.1,213.9,73.2,28.1,14.1,244.8,91,Orange County,2.59,89.4,11.5,14,4.8,94.6,5.4,7.7,38.9,66990,88.8,32.2,9.2,236100,34873,42.1
51139,4.2,8.5,109.9,33.8,0,12.7,367.1,86,Page County,2.47,79.2,9,18.4,1.9,97.5,2.5,8.6,33.1,45030,86.4,37.4,16,171300,23759,44.7
51141,0,5.6,39.1,22.3,0,5.6,294.1,69.2,Patrick County,2.29,79.7,10.5,19.2,1.9,95.7,4.3,7.7,27.8,35999,85.5,44.1,22.2,115300,18180,48.4
