fips,opioid_presc_rate,total_population,average_household_size,percent_grad_high_school,median_household_income,perc_male,perc_foreign_born,poverty_population,f,overdose_death_rate_2
2016,–,5684,3.59,0.8395598771750256,84306,0.5969387755102041,0.35397607318789587,499,20,19.05
2020,66.3,299107,2.77,0.9298679344955098,78326,0.5119305131608421,0.09963992818623436,23914,22,21.05
2050,–,17776,3.86,0.7896018636171114,51012,0.5260463546354636,0.01845184518451845,4364,12,11.05
2060,–,970,2.5,0.9198767334360555,79750,0.5701030927835051,0.01958762886597938,69,22,21.05
2068,–,2060,2.34,0.9522776572668112,81544,0.5466019417475728,0.06747572815533981,254,12,11.05
2070,–,4979,3.56,0.865323435843054,54173,0.5199839325165696,0.016670014059048003,894,22,21.05
2090,48.4,99705,2.69,0.9442185158964058,71068,0.5363522391053608,0.05081991876034301,7752,16,15.05
2100,–,2560,2.12,0.953981385729059,58750,0.541796875,0.070703125,135,24,23.05
2110,79.8,32531,2.62,0.9480443666082895,85746,0.5116657957025607,0.07844824936214688,2110,18,17.05
2122,97.9,57221,2.57,0.9341137894817737,63684,0.5238286643015676,0.027909333985774453,5558,26,25.05
2130,91.5,13699,2.55,0.9186695278969957,64222,0.5137601284765312,0.07803489305788744,1640,18,17.05
2150,33.6,13973,2.98,0.9038191190253045,70887,0.5344593143920418,0.17025692406784512,1552,18,17.05
2164,–,1474,2.9,0.872960372960373,50781,0.49592944369063774,0.03595658073270014,247,8,7.05
2170,76.4,96178,3.03,0.922529409826342,72983,0.5220008733806067,0.03844954147518143,9454,24,23.05
2180,–,9854,3.26,0.8458542014468559,48868,0.5350111629795007,0.017150395778364115,2592,18,17.05
2185,–,9667,3.28,0.8873149769218526,72576,0.6384607427330092,0.0647563877107686,976,10,9.05
2188,–,7732,3.97,0.786583850931677,63648,0.5386704604242111,0.009441282979824108,1824,10,9.05
2220,9.5,8943,2.49,0.9277498785031589,70376,0.5125796712512579,0.08442357150844236,798,20,19.05
2240,–,7029,3.11,0.9213483146067416,62670,0.5561246265471618,0.10442452695973822,1011,14,13.05
2261,45,9617,3.1,0.9248893105629349,78810,0.5341582614120828,0.044400540709160864,1029,18,17.05
2282,–,643,2.32,0.9452054794520548,72500,0.5707620528771384,0.06220839813374806,35,2,1
2290,–,5644,2.81,0.8224668360146768,38491,0.5382707299787385,0.011162296243798725,1252,22,21.05
1001,129.6,55221,2.68,0.8718026377378232,51281,0.4843266148747759,0.015591894388004563,7057,12,11.05
1003,123.8,195121,2.6,0.8951832468376143,50254,0.48848663137232795,0.03527042194330697,25798,22,21.05
1005,92.7,26932,2.61,0.7330391322841344,32964,0.5382815980989157,0.02736521609980692,6421,8,7.05
1007,97.2,22604,2.95,0.8065135325356708,38678,0.534109007255353,0.011104229339939833,3488,16,15.05
1009,56.9,57710,2.74,0.7850182704019488,45813,0.49405648934326807,0.0414659504418645,9552,18,17.05
1011,19.8,10678,2.73,0.6485614412476473,31938,0.5300618093275894,0.05366173440719236,2486,10,9.05
1013,135.4,20354,2.49,0.7783652472134895,32229,0.46683698535914314,0.007074776456716125,5094,10,9.05
1015,161,116648,2.52,0.8091359593392631,41703,0.4824257595500994,0.02560695425553803,23325,14,13.05
1017,140.6,34079,2.44,0.7892416225749559,34177,0.47706798908418674,0.01059303383315238,7273,14,13.05
1019,157.7,26008,2.28,0.7950250880751575,36296,0.4988849584743156,0.010035373731159643,4918,18,17.05
1021,120.4,43819,2.68,0.7840662323561346,41627,0.49337045573837834,0.0532417444487551,8288,20,19.05
1023,97.8,13395,2.37,0.764002517306482,33536,0.47644643523702873,0.0015677491601343784,3093,12,11.05
1025,164.7,25070,2.57,0.805056048575432,32011,0.4720382927802154,0.0050259274032708415,6107,10,9.05
1027,133.7,13537,2.45,0.7507079181961196,35327,0.4927975179138657,0.021422767230553297,2201,12,11.05
1029,44.2,15002,2.57,0.7514395393474088,38056,0.48886815091321156,0.015397946940407945,2508,18,17.05
1031,129.5,50884,2.62,0.8464774837511606,46729,0.4947331184655294,0.04241018787831145,8581,10,9.05
1033,208.1,54444,2.43,0.8385603030940855,40576,0.483120270369554,0.018606274336933362,9406,10,9.05
1035,93.9,12865,2.48,0.7809096013475576,24900,0.480062184220754,0.010182666148464827,4320,20,19.05
1037,25.4,11027,2.42,0.7407130391423585,31212,0.5059399655391312,0.017865239865783984,2073,14,13.05
1039,170.9,37886,2.49,0.7981488477521723,36444,0.4840574354642876,0.010742754579528058,7515,10,9.05
1041,90.9,13938,2.56,0.7795349811478843,36022,0.49239489166307937,0.023532788061414837,2288,14,13.05
1043,166.2,80965,2.55,0.8184605454252057,38971,0.49504106712777124,0.024652627678626568,14814,12,11.05
1045,78.7,49866,2.56,0.853872762821477,45028,0.4954879075923475,0.03240685035896202,9306,14,13.05
1047,117.8,42154,2.53,0.7808982624849743,27306,0.4614034255349433,0.007875883664658159,14580,10,9.05
1049,114.4,71068,2.81,0.7242043746162153,38192,0.4991557381662633,0.07601170709742781,13133,14,13.05
1051,117.3,80763,2.65,0.8661573495923015,53555,0.4873766452459666,0.02104924284635291,10334,8,7.05
1053,173.9,37935,2.6,0.7985157842119429,32330,0.514669829972321,0.005667589297482536,8609,24,23.05
1055,156.8,103766,2.56,0.824642762358397,39220,0.4838482740011179,0.026945242179519303,20078,18,17.05
1057,133.3,16896,2.36,0.776010101010101,34680,0.5017163825757576,0.004498106060606061,3055,18,17.05
1059,223.3,31634,2.62,0.7459074733096085,35372,0.4840045520642347,0.08819624454700639,7020,20,19.05
1061,50.2,26815,2.47,0.7904807589809189,36024,0.49129218720865186,0.027223568898004848,6149,12,11.05
1063,79.8,8697,2.7,0.7587371264561877,20541,0.47085201793721976,0.0021846613774864896,3479,10,9.05
1065,97.7,15256,2.53,0.8066400545224418,32714,0.4708311484006293,0.00957000524383849,4011,8,7.05
1067,30.7,17252,2.47,0.788340293130271,41997,0.47872710410387204,0.014491073498724786,2657,12,11.05
1069,142.8,103534,2.62,0.8465719896405498,41571,0.4787123070682095,0.02387621457685398,18746,12,11.05
1071,144.6,52860,2.56,0.7685399300887336,37745,0.49330306469920543,0.022701475595913734,9415,12,11.05
1073,116.7,659026,2.47,0.8844009357955274,45610,0.4727901478849089,0.04015623055843017,121029,18,17.05
1075,104.7,14133,2.27,0.7736847359488869,35450,0.48340762753838534,0.008278497134366377,3382,16,15.05
1077,127.5,92737,2.35,0.8429934786066486,43125,0.4789781856217044,0.018579423531060957,16232,12,11.05
1079,114.1,33586,2.46,0.7888116091361841,40003,0.4889239564104091,0.006758768534508426,6225,16,15.05
1081,64.5,150982,2.54,0.8857493717807315,44570,0.49195930640738633,0.05501980368520751,34561,8,7.05
1083,76.5,88805,2.64,0.8309291194020064,49570,0.5025167501829851,0.0471595067845279,12075,10,9.05
1085,0.7,10742,2.49,0.7414295628036086,25876,0.4770992366412214,0.002978961087320797,3035,8,7.05
1087,60.1,20018,2.24,0.8143272492327572,30738,0.45788790088919973,0.013288040763313018,4636,10,9.05
1089,113.7,346438,2.46,0.907067165074847,57993,0.4890398859247542,0.053940387601821974,46436,10,9.05
1091,131.7,20306,2.42,0.8462598853660306,32042,0.46547818378804295,0.011031222298827933,5244,8,7.05
1093,182.1,30387,2.34,0.7812933025404157,32299,0.493763780564057,0.01694803698950209,5960,10,9.05
1095,191.1,94318,2.72,0.7748235107479972,38983,0.49204817744226975,0.07699484721898259,18794,14,13.05
1097,133.5,414251,2.62,0.8527447025794385,43809,0.4784925081653394,0.03089672686366478,77917,18,17.05
1099,135.7,22217,2.62,0.8084221819888687,27257,0.47886753387045955,0.0024755817617140028,6901,12,11.05
1101,88,228138,2.47,0.8535679427393992,44369,0.4746951406604774,0.04309672215939475,49918,8,7.05
1103,135.4,119786,2.55,0.8279151469314564,45751,0.49099226954735947,0.04673334112500626,18936,16,15.05
1105,3.6,10038,2.7,0.7461978740801308,24537,0.46333931061964534,0.005379557680812911,3373,10,9.05
1107,81.5,19856,2.51,0.7868343088373437,30330,0.4863517324738114,0.010979049153908139,4801,16,15.05
1109,105.5,33155,2.44,0.7974469394032605,32825,0.4770924445784949,0.032091690544412604,8158,10,9.05
1111,108.8,22648,2.49,0.7572834265869187,36924,0.4896679618509361,0.0179706817379018,4511,16,15.05
1113,110.6,58302,2.59,0.8230902232002515,37049,0.4862097355150767,0.024939110150595176,12054,14,13.05
1115,114.4,85864,2.62,0.8315498092698241,51859,0.5024340818037827,0.018075095499860243,13417,18,17.05
1117,100.7,203530,2.66,0.9138967081370418,70187,0.4870731587480961,0.055593769960202426,16693,14,13.05
1119,40.5,13341,2.61,0.7832185039370079,19501,0.44262049321640057,0.014691552357394498,5372,8,7.05
1121,138.9,81437,2.49,0.7932957907117654,35155,0.48496383707651314,0.015619435882952466,17950,12,11.05
1123,108,41153,2.48,0.7978760204787602,39206,0.4761013777853376,0.015381624668918426,9117,10,9.05
