Notes,County,County Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,Drug-induced causes,D,42,55416,75.79
,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O,520,55416,938.357
,"Baldwin County, AL",1003,Drug-induced causes,D,184,208563,88.223
,"Baldwin County, AL",1003,Alcohol-induced causes,A,20,208563,9.589
,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O,1972,208563,945.518
,"Barbour County, AL",1005,Drug-induced causes,D,18,25965,Unreliable
,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O,256,25965,985.943
,"Bibb County, AL",1007,Drug-induced causes,D,21,22643,92.744
,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O,239,22643,1055.514
,"Blount County, AL",1009,Drug-induced causes,D,65,57704,112.644
,"Blount County, AL",1009,Alcohol-induced causes,A,10,57704,Unreliable
,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O,694,57704,1202.69
,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O,133,10362,1283.536
,"Butler County, AL",1013,Drug-induced causes,D,17,19998,Unreliable
,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O,275,19998,1375.138
,"Calhoun County, AL",1015,Drug-induced causes,D,77,114611,67.184
,"Calhoun County, AL",1015,Alcohol-induced causes,A,13,114611,Unreliable
,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O,1400,114611,1221.523
,"Chambers County, AL",1017,Drug-induced causes,D,40,33843,118.193
,"Chambers County, AL",1017,All other non-drug and non-alcohol causes,O,458,33843,1353.308
,"Cherokee County, AL",1019,Drug-induced causes,D,39,25725,151.603
,"Cherokee County, AL",1019,All other non-drug and non-alcohol causes,O,361,25725,1403.304
,"Chilton County, AL",1021,Drug-induced causes,D,36,43941,81.928
,"Chilton County, AL",1021,All other non-drug and non-alcohol causes,O,474,43941,1078.719
,"Choctaw County, AL",1023,All other non-drug and non-alcohol causes,O,180,12993,1385.361
,"Clarke County, AL",1025,Drug-induced causes,D,17,24392,Unreliable
,"Clarke County, AL",1025,All other non-drug and non-alcohol causes,O,314,24392,1287.307
,"Clay County, AL",1027,Drug-induced causes,D,12,13492,Unreliable
,"Clay County, AL",1027,All other non-drug and non-alcohol causes,O,177,13492,1311.889
,"Cleburne County, AL",1029,Drug-induced causes,D,14,14924,Unreliable
,"Cleburne County, AL",1029,All other non-drug and non-alcohol causes,O,191,14924,1279.818
,"Coffee County, AL",1031,Drug-induced causes,D,80,51226,156.171
,"Coffee County, AL",1031,All other non-drug and non-alcohol causes,O,507,51226,989.732
,"Colbert County, AL",1033,Drug-induced causes,D,49,54216,90.379
,"Colbert County, AL",1033,All other non-drug and non-alcohol causes,O,706,54216,1302.199
,"Conecuh County, AL",1035,Drug-induced causes,D,16,12395,Unreliable
,"Conecuh County, AL",1035,All other non-drug and non-alcohol causes,O,152,12395,1226.301
,"Coosa County, AL",1037,Drug-induced causes,D,12,10581,Unreliable
,"Coosa County, AL",1037,All other non-drug and non-alcohol causes,O,159,10581,1502.694
,"Covington County, AL",1039,Drug-induced causes,D,58,37458,154.84
,"Covington County, AL",1039,All other non-drug and non-alcohol causes,O,503,37458,1342.837
,"Crenshaw County, AL",1041,Drug-induced causes,D,16,13913,Unreliable
,"Crenshaw County, AL",1041,All other non-drug and non-alcohol causes,O,191,13913,1372.817
,"Cullman County, AL",1043,Drug-induced causes,D,114,82471,138.23
,"Cullman County, AL",1043,Alcohol-induced causes,A,25,82471,30.314
,"Cullman County, AL",1043,All other non-drug and non-alcohol causes,O,1010,82471,1224.673
,"Dale County, AL",1045,Drug-induced causes,D,48,49226,97.509
