ACS Year,NAME,Full_FIPS,ACS 5 Yr FIPS Variable Name,ACS 5 Yr FIPS Variable Value,ACS 5 Yr VA Variable Value
2016,Accomack County,51001,DP05 0001E,33060,8310301
2016,Albemarle County,51003,DP05 0001E,104287,8310301
2016,Alleghany County,51005,DP05 0001E,15919,8310301
2016,Amelia County,51007,DP05 0001E,12793,8310301
2016,Amherst County,51009,DP05 0001E,31999,8310301
2016,Appomattox County,51011,DP05 0001E,15314,8310301
2016,Arlington County,51013,DP05 0001E,226092,8310301
2016,Augusta County,51015,DP05 0001E,74330,8310301
2016,Bath County,51017,DP05 0001E,4558,8310301
2016,Bedford County,51019,DP05 0001E,76933,8310301
2016,Bland County,51021,DP05 0001E,6612,8310301
2016,Botetourt County,51023,DP05 0001E,33192,8310301
2016,Brunswick County,51025,DP05 0001E,16573,8310301
2016,Buchanan County,51027,DP05 0001E,23158,8310301
2016,Buckingham County,51029,DP05 0001E,17030,8310301
2016,Campbell County,51031,DP05 0001E,55061,8310301
2016,Caroline County,51033,DP05 0001E,29640,8310301
2016,Carroll County,51035,DP05 0001E,29733,8310301
2016,Charles City County,51036,DP05 0001E,7086,8310301
2016,Charlotte County,51037,DP05 0001E,12232,8310301
2016,Chesterfield County,51041,DP05 0001E,331839,8310301
2016,Clarke County,51043,DP05 0001E,14307,8310301
2016,Craig County,51045,DP05 0001E,5195,8310301
2016,Culpeper County,51047,DP05 0001E,48952,8310301
2016,Cumberland County,51049,DP05 0001E,9769,8310301
2016,Dickenson County,51051,DP05 0001E,15304,8310301
2016,Dinwiddie County,51053,DP05 0001E,28155,8310301
2016,Essex County,51057,DP05 0001E,11130,8310301
2016,Fairfax County,51059,DP05 0001E,1132887,8310301
2016,Fauquier County,51061,DP05 0001E,68025,8310301
2016,Floyd County,51063,DP05 0001E,15587,8310301
2016,Fluvanna County,51065,DP05 0001E,26046,8310301
2016,Franklin County,51067,DP05 0001E,56230,8310301
2016,Frederick County,51069,DP05 0001E,82321,8310301
2016,Giles County,51071,DP05 0001E,16871,8310301
2016,Gloucester County,51073,DP05 0001E,37021,8310301
2016,Goochland County,51075,DP05 0001E,21979,8310301
2016,Grayson County,51077,DP05 0001E,15180,8310301
2016,Greene County,51079,DP05 0001E,19085,8310301
2016,Greensville County,51081,DP05 0001E,11698,8310301
2016,Halifax County,51083,DP05 0001E,35305,8310301
2016,Hanover County,51085,DP05 0001E,102199,8310301
2016,Henrico County,51087,DP05 0001E,321921,8310301
2016,Henry County,51089,DP05 0001E,52209,8310301
2016,Highland County,51091,DP05 0001E,2230,8310301
2016,Isle of Wight County,51093,DP05 0001E,36027,8310301
2016,James City County,51095,DP05 0001E,71900,8310301
2016,King and Queen County,51097,DP05 0001E,7140,8310301
2016,King George County,51099,DP05 0001E,25260,8310301
2016,King William County,51101,DP05 0001E,16156,8310301
2016,Lancaster County,51103,DP05 0001E,11055,8310301
2016,Lee County,51105,DP05 0001E,24911,8310301
2016,Loudoun County,51107,DP05 0001E,362435,8310301
2016,Louisa County,51109,DP05 0001E,34350,8310301
2016,Lunenburg County,51111,DP05 0001E,12450,8310301
2016,Madison County,51113,DP05 0001E,13122,8310301
2016,Mathews County,51115,DP05 0001E,8848,8310301
2016,Mecklenburg County,51117,DP05 0001E,31209,8310301
2016,Middlesex County,51119,DP05 0001E,10728,8310301
2016,Montgomery County,51121,DP05 0001E,97227,8310301
2016,Nelson County,51125,DP05 0001E,14831,8310301
2016,New Kent County,51127,DP05 0001E,20051,8310301
